,Unnamed: 0,0,1,it,client
0,i0_c0,0.6936,0.1908,0,c0
1,i0_c1,0.648,0.1936,0,c1
2,i0_c2,0.7416,0.2195,0,c2
3,i0_c3,0.6544,0.1932,0,c3
4,i0_c4,0.7456,0.2353,0,c4
5,i0_c5,0.6928,0.1856,0,c5
6,i0_c6,0.6392,0.2124,0,c6
7,i0_c7,0.756,0.2237,0,c7
8,i0_g,0.2773,0.2073,0,g
9,i1_c0,0.7176,0.2042,1,c0
10,i1_c1,0.6592,0.1934,1,c1
11,i1_c2,0.7384,0.2161,1,c2
12,i1_c3,0.6664,0.1896,1,c3
13,i1_c4,0.7304,0.2312,1,c4
14,i1_c5,0.684,0.1833,1,c5
15,i1_c6,0.6464,0.2051,1,c6
16,i1_c7,0.7584,0.2339,1,c7
17,i1_g,0.2786,0.2095,1,g
18,i2_c0,0.704,0.2048,2,c0
19,i2_c1,0.6664,0.1857,2,c1
20,i2_c2,0.7432,0.2092,2,c2
21,i2_c3,0.6912,0.1989,2,c3
22,i2_c4,0.7424,0.2302,2,c4
23,i2_c5,0.66,0.1805,2,c5
24,i2_c6,0.6504,0.2101,2,c6
25,i2_c7,0.7488,0.2215,2,c7
26,i2_g,0.2793,0.2123,2,g
27,i3_c0,0.712,0.1961,3,c0
28,i3_c1,0.6576,0.1952,3,c1
29,i3_c2,0.7648,0.2273,3,c2
30,i3_c3,0.6968,0.191,3,c3
31,i3_c4,0.7264,0.2311,3,c4
32,i3_c5,0.6832,0.1841,3,c5
33,i3_c6,0.6544,0.2161,3,c6
34,i3_c7,0.7464,0.2086,3,c7
35,i3_g,0.29,0.2187,3,g
36,i4_c0,0.7048,0.1962,4,c0
37,i4_c1,0.6824,0.1956,4,c1
38,i4_c2,0.7456,0.2175,4,c2
39,i4_c3,0.6888,0.1966,4,c3
40,i4_c4,0.7448,0.2428,4,c4
41,i4_c5,0.6824,0.1929,4,c5
42,i4_c6,0.6632,0.2194,4,c6
43,i4_c7,0.752,0.2293,4,c7
44,i4_g,0.2891,0.2175,4,g
