,epsilon,1e-08l2_train_acc,1e-08l2_test_acc,1e-07l2_train_acc,1e-07l2_test_acc,1e-06l2_train_acc,1e-06l2_test_acc,1e-05l2_train_acc,1e-05l2_test_acc,0.0001l2_train_acc,0.0001l2_test_acc,0.0005l2_train_acc,0.0005l2_test_acc,0.001l2_train_acc,0.001l2_test_acc,0.005l2_train_acc,0.005l2_test_acc,0.01l2_train_acc,0.01l2_test_acc,0.05l2_train_acc,0.05l2_test_acc,0.1l2_train_acc,0.1l2_test_acc,1.0l2_train_acc,1.0l2_test_acc,10.0l2_train_acc,10.0l2_test_acc
0,0.1,0.0107,0.012,0.009,0.0107,0.0071,0.0094,0.0114,0.0114,0.0065,0.0068,0.0107,0.0102,0.008,0.0088,0.0195,0.0174,0.0171,0.0146,0.0577,0.0456,0.0515,0.0442,0.0383,0.0332,0.0293,0.0225
1,0.2,0.0095,0.0088,0.006,0.0068,0.0108,0.0104,0.0135,0.0128,0.009,0.009,0.013,0.0131,0.0197,0.0173,0.0176,0.0158,0.0471,0.0362,0.1056,0.0935,0.1145,0.0915,0.0297,0.0233,0.0293,0.0225
2,0.3,0.0066,0.007,0.0081,0.0081,0.007,0.0057,0.0078,0.0064,0.0098,0.0109,0.0136,0.0108,0.0094,0.0083,0.0376,0.0312,0.071,0.049,0.1754,0.1352,0.1367,0.1109,0.0396,0.0352,0.0293,0.0225
3,0.4,0.01,0.0115,0.0123,0.0125,0.0085,0.0102,0.0091,0.0111,0.0089,0.0076,0.0156,0.0142,0.018,0.0129,0.0456,0.0397,0.0908,0.0723,0.2142,0.1556,0.1947,0.146,0.0337,0.0269,0.0293,0.0225
4,0.5,0.0108,0.011,0.0148,0.0121,0.0106,0.0121,0.0118,0.0128,0.0112,0.0102,0.0116,0.011,0.0157,0.0137,0.0558,0.0418,0.1359,0.0992,0.2732,0.2022,0.2326,0.1817,0.0299,0.0238,0.0293,0.0225
5,0.6,0.0068,0.0068,0.0095,0.0106,0.0105,0.0102,0.0114,0.0105,0.0092,0.0118,0.0158,0.0111,0.0141,0.0122,0.0707,0.0546,0.1629,0.1218,0.3044,0.2104,0.2469,0.1852,0.0311,0.0242,0.0293,0.0225
6,0.7,0.008,0.0067,0.0139,0.0126,0.0118,0.0105,0.0097,0.0103,0.0067,0.0074,0.0161,0.0143,0.0202,0.0192,0.101,0.0755,0.1745,0.1171,0.341,0.2464,0.2013,0.154,0.0303,0.0238,0.0293,0.0225
7,0.8,0.0082,0.0073,0.0121,0.0129,0.0109,0.01,0.0102,0.011,0.0125,0.0137,0.0129,0.0117,0.0152,0.0136,0.1127,0.0868,0.2062,0.1454,0.3606,0.2604,0.2142,0.1641,0.0326,0.0253,0.0293,0.0225
8,0.9,0.0087,0.0092,0.0075,0.0077,0.0104,0.0095,0.0106,0.0126,0.0107,0.0088,0.0115,0.012,0.0263,0.0252,0.1325,0.0927,0.2727,0.1851,0.3453,0.2453,0.2088,0.1665,0.033,0.0253,0.0293,0.0225
9,1.0,0.0101,0.0087,0.0118,0.0118,0.0085,0.0066,0.009,0.0074,0.0102,0.0089,0.0157,0.0147,0.0272,0.0229,0.1595,0.1114,0.3064,0.2105,0.3278,0.2378,0.2251,0.1756,0.0324,0.025,0.0293,0.0225
