,train_acc,test_acc
i0_c0,0.9984,0.2564
i0_c1,0.9984,0.2401
i0_c2,0.9952,0.2402
i0_c3,0.9984,0.2357
i0_c4,1.0,0.2469
i0_c5,1.0,0.2418
i0_c6,0.9968,0.2301
i0_c7,1.0,0.2435
i0_c8,1.0,0.2588
i0_c9,1.0,0.2459
i0_c10,0.9984,0.2382
i0_c11,1.0,0.2383
i0_c12,0.9984,0.2272
i0_c13,0.9984,0.2362
i0_c14,0.992,0.2428
i0_c15,0.9984,0.2535
i0_g,0.5286,0.3614
i1_c0,1.0,0.3681
i1_c1,0.9984,0.3428
i1_c2,1.0,0.3322
i1_c3,1.0,0.3614
i1_c4,1.0,0.3529
i1_c5,1.0,0.3568
i1_c6,1.0,0.3395
i1_c7,1.0,0.3483
i1_c8,1.0,0.3736
i1_c9,1.0,0.3579
i1_c10,1.0,0.3555
i1_c11,1.0,0.3462
i1_c12,1.0,0.3495
i1_c13,1.0,0.3491
i1_c14,1.0,0.3539
i1_c15,1.0,0.3768
i1_g,0.7138,0.478
i2_c0,1.0,0.4222
i2_c1,1.0,0.3951
i2_c2,1.0,0.4002
i2_c3,1.0,0.426
i2_c4,1.0,0.422
i2_c5,1.0,0.4235
i2_c6,1.0,0.4011
i2_c7,1.0,0.4147
i2_c8,1.0,0.4378
i2_c9,1.0,0.4257
i2_c10,1.0,0.422
i2_c11,1.0,0.4106
i2_c12,1.0,0.4044
i2_c13,1.0,0.4116
i2_c14,1.0,0.4168
i2_c15,1.0,0.4372
i2_g,0.8011,0.5227
i3_c0,1.0,0.4563
i3_c1,1.0,0.4332
i3_c2,1.0,0.4354
i3_c3,1.0,0.4671
i3_c4,1.0,0.4573
i3_c5,1.0,0.4626
i3_c6,1.0,0.4504
i3_c7,1.0,0.4519
i3_c8,1.0,0.4711
i3_c9,1.0,0.4591
i3_c10,1.0,0.4606
i3_c11,1.0,0.445
i3_c12,1.0,0.4508
i3_c13,1.0,0.4466
i3_c14,1.0,0.4468
i3_c15,1.0,0.4714
i3_g,0.8475,0.5427
i4_c0,1.0,0.4781
i4_c1,1.0,0.4608
i4_c2,1.0,0.4604
i4_c3,1.0,0.4834
i4_c4,1.0,0.4785
i4_c5,1.0,0.4763
i4_c6,1.0,0.4685
i4_c7,1.0,0.476
i4_c8,1.0,0.4867
i4_c9,1.0,0.4859
i4_c10,1.0,0.4901
i4_c11,1.0,0.4662
i4_c12,1.0,0.4709
i4_c13,1.0,0.4757
i4_c14,1.0,0.4742
i4_c15,1.0,0.4947
i4_g,0.88,0.5537
i5_c0,1.0,0.492
i5_c1,1.0,0.4714
i5_c2,1.0,0.4789
i5_c3,1.0,0.5019
i5_c4,1.0,0.4943
i5_c5,1.0,0.4976
i5_c6,1.0,0.4936
i5_c7,1.0,0.4959
i5_c8,1.0,0.5063
i5_c9,1.0,0.4982
i5_c10,1.0,0.5019
i5_c11,1.0,0.4808
i5_c12,1.0,0.4893
i5_c13,1.0,0.4941
i5_c14,1.0,0.4827
i5_c15,1.0,0.5065
i5_g,0.8984,0.558
i6_c0,1.0,0.4989
i6_c1,1.0,0.4834
i6_c2,1.0,0.4921
i6_c3,1.0,0.5116
i6_c4,1.0,0.5051
i6_c5,1.0,0.5103
i6_c6,1.0,0.5066
i6_c7,1.0,0.5031
i6_c8,1.0,0.5127
i6_c9,1.0,0.5104
i6_c10,1.0,0.5124
i6_c11,1.0,0.4951
i6_c12,1.0,0.5063
i6_c13,1.0,0.5021
i6_c14,1.0,0.496
i6_c15,1.0,0.5221
i6_g,0.9129,0.5615
i7_c0,1.0,0.5016
i7_c1,1.0,0.4949
i7_c2,1.0,0.5026
i7_c3,1.0,0.5202
i7_c4,1.0,0.5148
i7_c5,1.0,0.5153
i7_c6,1.0,0.5094
i7_c7,1.0,0.5084
i7_c8,1.0,0.523
i7_c9,1.0,0.5136
i7_c10,1.0,0.5154
i7_c11,1.0,0.4997
i7_c12,1.0,0.5073
i7_c13,1.0,0.51
i7_c14,1.0,0.5004
i7_c15,1.0,0.5317
i7_g,0.9259,0.5627
i8_c0,1.0,0.5141
i8_c1,1.0,0.497
i8_c2,1.0,0.5078
i8_c3,1.0,0.5218
i8_c4,1.0,0.5115
i8_c5,1.0,0.5155
i8_c6,1.0,0.5164
i8_c7,1.0,0.514
i8_c8,1.0,0.5267
i8_c9,1.0,0.5183
i8_c10,1.0,0.5273
i8_c11,1.0,0.5073
i8_c12,1.0,0.5086
i8_c13,1.0,0.5138
i8_c14,1.0,0.5079
i8_c15,1.0,0.5334
i8_g,0.9334,0.5621
i9_c0,1.0,0.5168
i9_c1,1.0,0.5025
i9_c2,1.0,0.5088
i9_c3,1.0,0.5281
i9_c4,1.0,0.5231
i9_c5,1.0,0.5198
i9_c6,1.0,0.524
i9_c7,1.0,0.516
i9_c8,1.0,0.5349
i9_c9,1.0,0.5185
i9_c10,1.0,0.5249
i9_c11,1.0,0.5079
i9_c12,1.0,0.519
i9_c13,1.0,0.5204
i9_c14,1.0,0.5077
i9_c15,1.0,0.5368
i9_g,0.9413,0.5629
