,train_acc,test_acc,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.0144,0.0081,0,c0,0.4869333333333334,0.008999753083032639,0.47696060281992053,0.013989337359817871,0.28986666666666666,0.1145701919736931
i0_c1.npy,0.0176,0.0103,0,c1,0.5092,0.003857460304397175,0.5290985133206746,0.02140196714415693,0.23173333333333332,0.11698767266492464
i0_c2.npy,0.0144,0.0141,0,c2,0.4916,0.006955094056397307,0.47966001965298427,0.015946920992338253,0.21413333333333331,0.08558338364166002
i0_c3.npy,0.0208,0.0175,0,c3,0.5062666666666666,0.009299940262651643,0.5111689614955904,0.021052396248909516,0.2456,0.07926462010254008
i0_c4.npy,0.0096,0.0114,0,c4,0.5098666666666667,0.008373503182990714,0.5174033249332726,0.015942892565827413,0.30773333333333336,0.11899908496380222
i0_c5.npy,0.0128,0.0113,0,c5,0.5070666666666667,0.00618672413766408,0.5153455822234868,0.014915833249319733,0.2688,0.08482012339847975
i0_c6.npy,0.0224,0.0104,0,c6,0.5117333333333334,0.011004645483713776,0.53010293680832,0.027073453426468143,0.256,0.10133614031199992
i0_c7.npy,0.0144,0.0123,0,c7,0.4897333333333333,0.008546864272286585,0.4832143313427107,0.015475952378456422,0.34159999999999996,0.11096185530772876
i0_c8.npy,0.0192,0.0149,0,c8,0.5022666666666666,0.005414384134465869,0.5043465775708404,0.011760135297583556,0.21919999999999998,0.061261407101045266
i0_c9.npy,0.0096,0.0128,0,c9,0.4978666666666666,0.010417079991799794,0.496528902888862,0.019570477660166622,0.26986666666666664,0.09871134123741249
i0_c10.npy,0.0208,0.0144,0,c10,0.496,0.007811103208467622,0.49050428427748605,0.020916412386386446,0.23493333333333333,0.07215637339987524
i0_c11.npy,0.0144,0.0129,0,c11,0.49066666666666664,0.003937286149395576,0.4789586076486603,0.012528382807188392,0.25146666666666667,0.11879363993450529
i0_c12.npy,0.0112,0.0142,0,c12,0.4825333333333333,0.0068104494875318045,0.4638358039547916,0.01958127668211681,0.25520000000000004,0.11549129837351384
i0_c13.npy,0.0048,0.0115,0,c13,0.49373333333333336,0.009413937657655374,0.48627112472296247,0.016818795177744546,0.2824,0.1022321541068823
i0_c14.npy,0.0208,0.0122,0,c14,0.5030666666666667,0.01041451977876187,0.506044627223322,0.026089797111522903,0.2248,0.07525529881676107
i0_c15.npy,0.0208,0.0145,0,c15,0.49679999999999996,0.014160979250508526,0.49392786117642434,0.03217650519952995,0.21653333333333333,0.0806938797073373
i0_g.npy,0.028,0.021,0,g,0.5029333333333333,0.0011327204225030604,0.5303036139980769,0.016854849179566502,0.06285,0.021389853513601568
i1_c0.npy,0.0208,0.0146,1,c0,0.4950666666666667,0.0038758511609996247,0.484323365556439,0.0187905136375115,0.20373333333333332,0.08861201323121425
i1_c1.npy,0.0192,0.0127,1,c1,0.518,0.004150501977672897,0.5450792843236828,0.019531473769362408,0.24799999999999997,0.07556789441731632
i1_c2.npy,0.0144,0.0118,1,c2,0.49373333333333336,0.009637888196533984,0.4840214979715587,0.019969756624768187,0.26213333333333333,0.09484827650282085
