,train_acc,test_acc,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.0368,0.0217,0,c0,0.5064000000000001,0.007892612579705994,0.5187133220585421,0.024373863373083258,0.19306666666666664,0.05536143864540453
i0_c1.npy,0.024,0.0189,0,c1,0.49933333333333335,0.00800555362788165,0.5014173888317403,0.01802944130943965,0.22960000000000003,0.04388348208608793
i0_c2.npy,0.0272,0.0175,0,c2,0.49973333333333336,0.007075466219424858,0.4969915283693674,0.015536251154944834,0.22399999999999998,0.05836528648663233
i0_c3.npy,0.0272,0.0213,0,c3,0.4932,0.006544208635630936,0.4844297612028701,0.016962372848681184,0.19066666666666665,0.06713912586727819
i0_c4.npy,0.0272,0.014,0,c4,0.49439999999999995,0.0062481997407253355,0.48567886734496196,0.015891674866519014,0.21066666666666667,0.08039192883755324
i0_c5.npy,0.0208,0.0143,0,c5,0.5089333333333333,0.007352701695446517,0.5219357701106476,0.01846377121921517,0.23066666666666666,0.08205060768953648
i0_c6.npy,0.024,0.0173,0,c6,0.5022666666666666,0.006747509828735995,0.5040377114199408,0.012227139699777978,0.23466666666666666,0.06448924113541903
i0_c7.npy,0.0304,0.016,0,c7,0.5109333333333334,0.0060339778661252135,0.5328161598660267,0.020996078617412543,0.19920000000000002,0.04188364836066696
i0_c8.npy,0.032,0.0135,0,c8,0.5222666666666667,0.01479038726861321,0.5619205708389946,0.041106994211412895,0.21706666666666666,0.07450267705853857
i0_c9.npy,0.024,0.0234,0,c9,0.5001333333333333,0.005026153819992189,0.5017201451503871,0.01561663997186713,0.16613333333333333,0.050210578787962826
i0_c10.npy,0.0208,0.015,0,c10,0.5026666666666667,0.00895221884351707,0.5032929922846973,0.016146532574372183,0.23680000000000004,0.08074321436917574
i0_c11.npy,0.0144,0.0149,0,c11,0.4872,0.005225578117937455,0.47136843564798186,0.011508384896608333,0.20986666666666667,0.047807763200365505
i0_c12.npy,0.0336,0.0171,0,c12,0.5008,0.01043072384832424,0.5018475570847225,0.02226398554776183,0.2168,0.07148109307129169
i0_c13.npy,0.0336,0.0183,0,c13,0.5062666666666666,0.007220957154160545,0.5127618962776211,0.014247557406438802,0.19786666666666666,0.07511863210208829
i0_c14.npy,0.0256,0.0162,0,c14,0.49133333333333334,0.013603267581316233,0.4826215936878701,0.03163099016297872,0.23306666666666664,0.06320618816399406
i0_c15.npy,0.0256,0.0157,0,c15,0.5041333333333334,0.0071317755308353695,0.5083903763500505,0.014169761181337894,0.2512,0.05760740693116931
i0_g.npy,0.0444,0.0423,0,g,0.49943333333333334,0.0009472181492255148,0.4918326353525935,0.011678336157983756,0.023933333333333334,0.013809618226278218
