,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.997,0.4868,0.025,0.019
i0_c1,0.9982,0.4897,0.0192,0.0143
i0_g,0.0341,0.03,,
i1_c0,0.2648,0.1114,0.0532,0.044
i1_c1,0.2518,0.1112,0.0546,0.0402
i1_g,0.0772,0.0605,,
i2_c0,0.2676,0.1227,0.0734,0.051
i2_c1,0.2574,0.1208,0.0742,0.0557
i2_g,0.0894,0.0665,,
i3_c0,0.2898,0.1353,0.1056,0.0661
i3_c1,0.2766,0.1375,0.103,0.0694
i3_g,0.1228,0.0848,,
i4_c0,0.307,0.1459,0.116,0.078
i4_c1,0.2902,0.1448,0.0962,0.0688
i4_g,0.1342,0.0943,,
i5_c0,0.312,0.1508,0.114,0.081
i5_c1,0.313,0.1493,0.14,0.0966
i5_g,0.1727,0.1165,,
i6_c0,0.3228,0.1582,0.1432,0.0977
i6_c1,0.3206,0.1566,0.149,0.0932
i6_g,0.1757,0.114,,
i7_c0,0.3282,0.1638,0.156,0.0958
i7_c1,0.3278,0.1597,0.1804,0.1122
i7_g,0.1895,0.1253,,
i8_c0,0.3468,0.1693,0.167,0.1101
i8_c1,0.336,0.1687,0.1756,0.1149
i8_g,0.2033,0.1314,,
i9_c0,0.3428,0.1715,0.1778,0.1041
i9_c1,0.3528,0.17,0.179,0.112
i9_g,0.2105,0.129,,
i10_c0,0.362,0.1778,0.1964,0.1133
i10_c1,0.369,0.1774,0.1926,0.1273
i10_g,0.2275,0.1375,,
i11_c0,0.3656,0.1778,0.2092,0.1296
i11_c1,0.3718,0.1748,0.1962,0.1223
i11_g,0.2367,0.1448,,
i12_c0,0.3812,0.1814,0.2188,0.1293
i12_c1,0.3764,0.1846,0.197,0.1296
i12_g,0.2345,0.1431,,
i13_c0,0.3866,0.1775,0.234,0.1308
i13_c1,0.3798,0.1794,0.2198,0.1361
i13_g,0.2566,0.1518,,
i14_c0,0.4002,0.1845,0.2248,0.133
i14_c1,0.3864,0.1865,0.2346,0.1422
i14_g,0.2531,0.1562,,
i15_c0,0.4032,0.1856,0.257,0.1455
i15_c1,0.395,0.1876,0.2298,0.1402
i15_g,0.2806,0.1599,,
i16_c0,0.4074,0.1897,0.245,0.1412
i16_c1,0.403,0.1881,0.2344,0.15
i16_g,0.2846,0.1651,,
i17_c0,0.4138,0.1933,0.2498,0.1519
i17_c1,0.4102,0.1933,0.2616,0.1602
i17_g,0.2824,0.1724,,
i18_c0,0.4132,0.1943,0.2538,0.1454
i18_c1,0.413,0.1921,0.2554,0.1522
i18_g,0.2824,0.1654,,
i19_c0,0.419,0.1972,0.2644,0.1509
i19_c1,0.4174,0.1955,0.2642,0.1554
i19_g,0.2955,0.1736,,
