,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,1.0,0.1945,0.0064102564102564,0.0102,0,c0,0.49332264957264965,0.01225434802025049,0.49036579265089886,0.020548839636356928,0.3157051282051282,0.09923396464520937
i0_c1.npy,1.0,0.1739,0.0064102564102564,0.0072,0,c1,0.5053418803418803,0.011691275976623564,0.5048003364013159,0.020174307230564816,0.36271367521367526,0.1452529856919859
i0_c2.npy,1.0,0.1694,0.0192307692307692,0.012,0,c2,0.48824786324786323,0.020411296126648305,0.49284577714933525,0.03651368892946746,0.3157051282051282,0.10710037131305093
i0_c3.npy,1.0,0.1795,0.0096153846153846,0.0112,0,c3,0.4962606837606838,0.01730142600502313,0.4989324953786513,0.027830781831997137,0.3376068376068376,0.11806401524394276
i0_c4.npy,1.0,0.1826,0.0096153846153846,0.0115,0,c4,0.502403846153846,0.007782479852742221,0.5027986817560565,0.01798469247836223,0.2590811965811966,0.0937815741750974
i0_c5.npy,1.0,0.173,0.0032051282051282,0.0099,0,c5,0.5090811965811967,0.01041324182137711,0.5179936614552261,0.02103587291024494,0.28846153846153844,0.12285860266209445
i0_c6.npy,1.0,0.1783,0.016025641025641,0.007,0,c6,0.49492521367521364,0.011157371033229375,0.4928681632369611,0.02001699570425664,0.2948717948717949,0.10349470972916523
i0_c7.npy,1.0,0.1806,0.0096153846153846,0.0095,0,c7,0.5120192307692307,0.011170151531157316,0.5228734316369427,0.02553981749115307,0.26816239316239315,0.09336531065179869
i0_c8.npy,1.0,0.1743,0.0256410256410256,0.0176,0,c8,0.5114850427350427,0.02030090242057678,0.49686721335229517,0.03247769793084428,0.40277777777777773,0.29747127761380027
i0_c9.npy,1.0,0.176,0.0192307692307692,0.0094,0,c9,0.5120192307692307,0.0055321354639978814,0.5177830715047018,0.006233187460763787,0.3573717948717949,0.1422676225638858
i0_c10.npy,1.0,0.197,0.0096153846153846,0.0128,0,c10,0.49973290598290593,0.011233835921374499,0.5008541109191055,0.02865445547303819,0.28311965811965817,0.16304902980466496
i0_c11.npy,1.0,0.1751,0.0192307692307692,0.0147,0,c11,0.5128205128205128,0.01034450680076768,0.5155617011118788,0.013037251586270966,0.44551282051282054,0.11853197946376913
