,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,1.0,0.1963,0.0032051282051282,0.0087,0,c0,0.5045405982905983,0.014728969742481023,0.49362235276658256,0.04136156252188445,0.1891025641025641,0.11948151650129056
i0_c1.npy,1.0,0.1833,0.0128205128205128,0.0065,0,c1,0.5093482905982906,0.007596935178059775,0.5254004251422207,0.029344617385826006,0.25801282051282054,0.13602928110840387
i0_c2.npy,1.0,0.1713,0.0,0.0093,0,c2,0.49786324786324787,0.01057638347928598,0.4970064270992565,0.011662706215736828,0.469551282051282,0.0979488787643554
i0_c3.npy,1.0,0.1819,0.0064102564102564,0.0143,0,c3,0.5045405982905984,0.013548276552320946,0.5039706459921517,0.01816736479155245,0.359508547008547,0.09496084457468584
i0_c4.npy,1.0,0.1868,0.0192307692307692,0.0051,0,c4,0.5141559829059829,0.006371186133481087,0.5125927109066458,0.006581631703044852,0.6132478632478632,0.0939502967837826
i0_c5.npy,1.0,0.1783,0.0096153846153846,0.0082,0,c5,0.4962606837606837,0.005206620910688548,0.49299440551923407,0.011127895113102684,0.2825854700854701,0.11268835540133003
i0_c6.npy,1.0,0.1857,0.0128205128205128,0.01,0,c6,0.5034722222222222,0.01635392042183936,0.5206003079677901,0.05870176925798431,0.18108974358974358,0.05170598014391564
i0_c7.npy,1.0,0.1828,0.0096153846153846,0.0088,0,c7,0.49545940170940167,0.007708797911144128,0.4858529526646131,0.016329466053624956,0.3018162393162393,0.15292432902938494
i0_c8.npy,1.0,0.1796,0.0064102564102564,0.0071,0,c8,0.5184294871794871,0.012090246044611409,0.5404659174905463,0.02508500927613454,0.29967948717948717,0.16544744301227113
i0_c9.npy,1.0,0.181,0.0032051282051282,0.0077,0,c9,0.48664529914529914,0.008463130084270763,0.47565528329628665,0.022868272192976154,0.33386752136752135,0.14983664888557313
i0_c10.npy,1.0,0.194,0.0096153846153846,0.0117,0,c10,0.48344017094017094,0.008858506384496256,0.46643137433576937,0.01991031710903061,0.22970085470085475,0.0635571526398968
i0_c11.npy,1.0,0.1807,0.0128205128205128,0.0132,0,c11,0.5037393162393163,0.01253920362639479,0.5039408510431823,0.0188293849352135,0.26816239316239315,0.10426387092953719
i0_c12.npy,1.0,0.1801,0.0096153846153846,0.0065,0,c12,0.5026709401709402,0.01313928832932568,0.5011872284780475,0.027512871754132275,0.27297008547008544,0.1625205092785311
i0_c13.npy,1.0,0.1861,0.0128205128205128,0.0139,0,c13,0.49252136752136755,0.007497686350223391,0.48598956766174345,0.014313985063378004,0.3071581196581196,0.08910057848942547
i0_c14.npy,1.0,0.1852,0.0,0.0059,0,c14,0.500801282051282,0.012019230769230773,0.5040505899397278,0.015486115912795874,0.40811965811965817,0.12856076031189168
i0_c15.npy,1.0,0.1924,0.0288461538461538,0.0176,0,c15,0.530982905982906,0.0050395198355003045,0.5471428319545403,0.016520553882937584,0.4006410256410257,0.12706490823632735
i0_c16.npy,1.0,0.1894,0.0128205128205128,0.0078,0,c16,0.5245726495726496,0.006320598058867123,0.5332684748746411,0.00720559171394111,0.4001068376068377,0.10348505903720154
i0_c17.npy,1.0,0.1944,0.0096153846153846,0.006,0,c17,0.49732905982905984,0.01323665779205543,0.4835096198468649,0.050587143326784,0.10523504273504275,0.046129232317698256
i0_c18.npy,1.0,0.184,0.0064102564102564,0.0098,0,c18,0.4967948717948718,0.009878868594501551,0.4863165560270068,0.03576007063131088,0.24252136752136752,0.19710597457445245
i0_c19.npy,1.0,0.1934,0.0096153846153846,0.0093,0,c19,0.500267094017094,0.01930666706036452,0.5010431050401953,0.036601646315315664,0.2980769230769231,0.08256964333481347
i0_c20.npy,1.0,0.186,0.0064102564102564,0.0104,0,c20,0.5125534188034188,0.015631276590170422,0.5226826904423317,0.023491551331535,0.2644230769230769,0.1645966744898661
i0_c21.npy,1.0,0.1754,0.016025641025641,0.0134,0,c21,0.5042735042735043,0.012742372266962157,0.5091576195920403,0.024337625120233145,0.2916666666666667,0.0894186731139997
i0_c22.npy,1.0,0.1873,0.0096153846153846,0.0078,0,c22,0.5184294871794871,0.006783346741025807,0.5608390119694258,0.02535643320043046,0.18482905982905984,0.06979693577376526
i0_c23.npy,1.0,0.1904,0.0128205128205128,0.0117,0,c23,0.4922542735042735,0.012219368839420798,0.48745141145981813,0.013674406688437604,0.35202991452991456,0.12005928060980943
i0_c24.npy,1.0,0.1726,0.016025641025641,0.0133,0,c24,0.5194978632478633,0.007708797911144146,0.5258184240834493,0.011858826839803858,0.4161324786324787,0.09216098314884079
i0_c25.npy,1.0,0.1812,0.0064102564102564,0.0111,0,c25,0.5037393162393163,0.013806461520641126,0.5063678900356164,0.020965862893167913,0.38247863247863245,0.10072242520848441
i0_c26.npy,1.0,0.1819,0.0128205128205128,0.0113,0,c26,0.514423076923077,0.008630071806305309,0.5233469422183273,0.014459550619461756,0.3643162393162393,0.13709392384420388
i0_c27.npy,1.0,0.1898,0.0064102564102564,0.0085,0,c27,0.5042735042735043,0.008048354259251768,0.5089545984893494,0.014407331825672855,0.34561965811965817,0.15966146687728322
i0_c28.npy,1.0,0.1776,0.0128205128205128,0.0109,0,c28,0.5106837606837606,0.007440378353196652,0.5256445531117317,0.01197108898902943,0.2126068376068376,0.10722685501636706
i0_c29.npy,1.0,0.1778,0.0128205128205128,0.0067,0,c29,0.5160256410256411,0.013408013245738386,0.5137206503589157,0.012842583648638889,0.5438034188034188,0.17390261523355047
i0_c30.npy,1.0,0.2019,0.0032051282051282,0.0094,0,c30,0.5178952991452992,0.01524309089036355,0.5176640425721927,0.023343177604053633,0.4358974358974359,0.12891098424271874
i0_c31.npy,1.0,0.1894,0.016025641025641,0.0149,0,c31,0.5021367521367521,0.018976837252491042,0.5076255283265163,0.032594294137993696,0.235042735042735,0.07590734900996415
i0_g.npy,0.0192,0.0206,,,0,g,0.4995,0.0024356723917637116,0.4989084923369249,0.00548513540321419,0.2275166666666667,0.08158763012178309
i1_c0.npy,0.6410256410256411,0.035,0.0256410256410256,0.0125,1,c0,0.5034722222222222,0.011718702440427517,0.5072604203179315,0.028101355278347014,0.25747863247863245,0.0597240378605713
i1_c1.npy,0.6826923076923077,0.0327,0.016025641025641,0.009,1,c1,0.4935897435897436,0.009570765420496206,0.48761537220978063,0.020657539118804354,0.19017094017094016,0.0919238120185018
i1_c2.npy,0.6346153846153846,0.0357,0.0064102564102564,0.0105,1,c2,0.48050213675213677,0.011080378479001892,0.4681383598656285,0.009824445495603476,0.280982905982906,0.09413235941197476
i1_c3.npy,0.7019230769230769,0.0317,0.0096153846153846,0.0117,1,c3,0.4978632478632478,0.015555790361710512,0.49690432658804107,0.02171781494303101,0.3776709401709402,0.1426842138501035
i1_c4.npy,0.7115384615384616,0.0326,0.0192307692307692,0.0122,1,c4,0.5024038461538461,0.009911311600042456,0.5039737807189656,0.0191430616656287,0.2905982905982906,0.10347264968207907
i1_c5.npy,0.6698717948717948,0.0301,0.0256410256410256,0.0155,1,c5,0.5216346153846153,0.016336462268560916,0.5428242103271813,0.029395741326258294,0.34401709401709407,0.15329614409560205
i1_c6.npy,0.6634615384615384,0.0322,0.016025641025641,0.0145,1,c6,0.49732905982905984,0.012809379068677131,0.49853674509859597,0.012795321236892313,0.41773504273504275,0.12741028536469948
i1_c7.npy,0.6666666666666666,0.0324,0.0256410256410256,0.0128,1,c7,0.5066773504273504,0.02710839801755876,0.515660270152705,0.04038721885415711,0.32264957264957267,0.05475883345615169
i1_c8.npy,0.6826923076923077,0.033,0.0064102564102564,0.0097,1,c8,0.5211004273504274,0.0156586359050212,0.5250412021057761,0.01997553119908075,0.4268162393162393,0.11066462932373154
i1_c9.npy,0.6666666666666666,0.0296,0.0064102564102564,0.0119,1,c9,0.516292735042735,0.008700052069926478,0.5385273116907993,0.024590362718949235,0.26282051282051283,0.11565140097864561
i1_c10.npy,0.6826923076923077,0.0353,0.0192307692307692,0.0103,1,c10,0.513888888888889,0.006114061507617328,0.5425456099676943,0.022580608513365963,0.2126068376068376,0.11780269357979087
i1_c11.npy,0.7051282051282052,0.0275,0.0192307692307692,0.0135,1,c11,0.5045405982905983,0.012462161482145509,0.505519724948369,0.0244912366014995,0.2601495726495726,0.10252096893927501
i1_c12.npy,0.6826923076923077,0.0292,0.0256410256410256,0.0119,1,c12,0.5106837606837606,0.010535834894933786,0.5170955311963246,0.023323897310699466,0.30982905982905984,0.16014597334351882
i1_c13.npy,0.6891025641025641,0.0328,0.0128205128205128,0.008,1,c13,0.500267094017094,0.00998302969606342,0.505038776261224,0.02193775299286247,0.3071581196581197,0.13251847519148321
