,train_acc,test_acc
i0_c0,0.0272,0.0172
i0_c1,0.0192,0.0181
i0_c2,0.02,0.016
i0_c3,0.02,0.0201
i0_g,0.0363,0.0322
i1_c0,0.0256,0.022
i1_c1,0.0304,0.0226
i1_c2,0.0268,0.0214
i1_c3,0.02,0.0162
i1_g,0.039,0.033
i2_c0,0.0356,0.0309
i2_c1,0.0468,0.0256
i2_c2,0.0348,0.0311
i2_c3,0.04,0.0281
i2_g,0.0498,0.0435
i3_c0,0.0476,0.0349
i3_c1,0.0416,0.035
i3_c2,0.0404,0.0356
i3_c3,0.0348,0.0319
i3_g,0.051,0.0476
i4_c0,0.0436,0.0377
i4_c1,0.0408,0.0387
i4_c2,0.0444,0.034
i4_c3,0.0424,0.0343
i4_g,0.0552,0.0519
i5_c0,0.0488,0.039
i5_c1,0.0472,0.0388
i5_c2,0.044,0.0348
i5_c3,0.0496,0.0387
i5_g,0.0606,0.0539
i6_c0,0.0636,0.04
i6_c1,0.056,0.0435
i6_c2,0.0536,0.0444
i6_c3,0.0472,0.0409
i6_g,0.0687,0.0575
i7_c0,0.0524,0.0412
i7_c1,0.058,0.0472
i7_c2,0.058,0.0482
i7_c3,0.052,0.0423
i7_g,0.0682,0.0561
i8_c0,0.0656,0.0515
i8_c1,0.062,0.0486
i8_c2,0.0544,0.0449
i8_c3,0.0516,0.0407
i8_g,0.0708,0.0596
i9_c0,0.0756,0.0516
i9_c1,0.06,0.0466
i9_c2,0.0624,0.0462
i9_c3,0.064,0.0521
i9_g,0.0788,0.0631
