,train_acc,test_acc
i0_c0,0.7668,0.2904
i0_c1,0.776,0.3085
i0_c2,0.7692,0.2904
i0_c3,0.764,0.289
i0_g,0.5548,0.3743
i1_c0,0.8728,0.3925
i1_c1,0.8892,0.3974
i1_c2,0.8856,0.3842
i1_c3,0.8772,0.3853
i1_g,0.7275,0.4707
i2_c0,0.9168,0.4365
i2_c1,0.9276,0.4462
i2_c2,0.9216,0.4372
i2_c3,0.9268,0.4349
i2_g,0.8049,0.5015
i3_c0,0.9416,0.4574
i3_c1,0.942,0.462
i3_c2,0.9448,0.4574
i3_c3,0.9436,0.4597
i3_g,0.8452,0.5097
i4_c0,0.948,0.4767
i4_c1,0.9548,0.4706
i4_c2,0.9572,0.4768
i4_c3,0.9596,0.4755
i4_g,0.8724,0.5144
i5_c0,0.9616,0.4815
i5_c1,0.9568,0.4855
i5_c2,0.9584,0.4801
i5_c3,0.9648,0.4785
i5_g,0.8905,0.5104
i6_c0,0.968,0.4829
i6_c1,0.9652,0.4776
i6_c2,0.9616,0.4884
i6_c3,0.9744,0.4814
i6_g,0.9069,0.5094
i7_c0,0.9704,0.4865
i7_c1,0.9732,0.482
i7_c2,0.9692,0.4841
i7_c3,0.9792,0.4813
i7_g,0.9179,0.5057
i8_c0,0.9732,0.4871
i8_c1,0.9772,0.4878
i8_c2,0.978,0.481
i8_c3,0.9776,0.4873
i8_g,0.9252,0.5091
i9_c0,0.976,0.4889
i9_c1,0.978,0.4868
i9_c2,0.98,0.4859
i9_c3,0.98,0.4872
i9_g,0.9335,0.5104
