file_name,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,1.0,0.3384,0.0128,0.0102,0,c0,0.4944,0.0030983866769659246,0.4914084814756083,0.004861943673992213,0.3214666666666666,0.08770425049879599
i0_c1.npy,1.0,0.3266,0.0088,0.0072,0,c1,0.5061333333333333,0.006060436361260532,0.5113824649950846,0.012657203003787695,0.37266666666666665,0.1395210219126693
i0_c2.npy,1.0,0.3462,0.0112,0.0121,0,c2,0.49280000000000007,0.003857460304397183,0.48822576175468607,0.006931790106127879,0.33253333333333335,0.12279992761489
i0_c3.npy,1.0,0.3277,0.0112,0.0112,0,c3,0.49533333333333335,0.009643420324529863,0.49280994896742253,0.012452260861234087,0.3404,0.1306090349095345
i0_c4.npy,1.0,0.339,0.0112,0.0115,0,c4,0.4962666666666667,0.006868931665275346,0.4877509995941857,0.020634593007062572,0.2412,0.09826739031845712
i0_c5.npy,1.0,0.3293,0.0016,0.0099,0,c5,0.49546666666666667,0.008817154995928257,0.486420253857941,0.017734017436658426,0.2748,0.12705631297447076
i0_c6.npy,1.0,0.3322,0.0064,0.007,0,c6,0.4966,0.005781579945539678,0.4954638007117198,0.008438919878621123,0.2902666666666667,0.08961835129530607
i0_c7.npy,1.0,0.3358,0.0112,0.0095,0,c7,0.5069333333333333,0.003634403512117061,0.5147191513758121,0.008282759254404628,0.25120000000000003,0.09434800828139758
i0_g.npy,0.0089,0.0095,,,0,g,0.5023666666666666,0.0014126413400278237,0.506605219326824,0.005696359371196086,0.2129333333333333,0.08890038745072423
i1_c0.npy,0.012,0.0133,0.0184,0.0176,1,c0,0.4997333333333333,0.004847909056719428,0.5003311901980736,0.006710861489464125,0.37266666666666665,0.2469981556386381
i1_c1.npy,0.0136,0.013,0.0112,0.0102,1,c1,0.4962,0.0035534021256630444,0.49395439058460283,0.006157453662460785,0.3582666666666667,0.13558872453940343
i1_c2.npy,0.0144,0.0133,0.0136,0.0098,1,c2,0.5020666666666667,0.01131704712173435,0.5099518974259927,0.02401665274421469,0.23706666666666665,0.1184087083884552
i1_c3.npy,0.0136,0.0133,0.012,0.0118,1,c3,0.48786666666666667,0.006699917080747261,0.4850324042945664,0.006690727253469068,0.39853333333333335,0.1085569998766649
i1_c4.npy,0.0072,0.0128,0.0192,0.0179,1,c4,0.5067333333333334,0.007055651792869476,0.5126739722384441,0.013088857936095669,0.28373333333333334,0.07991150661130654
i1_c5.npy,0.0112,0.0131,0.0072,0.0088,1,c5,0.4922,0.006225752966509342,0.4818180943924715,0.015062550373859177,0.2602666666666667,0.14655777776093026
