,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,1.0,0.3354,0.0088,0.0099
i0_c1,1.0,0.3243,0.0088,0.0085
i0_c2,1.0,0.3465,0.0136,0.011
i0_c3,1.0,0.3307,0.008,0.0085
i0_c4,1.0,0.3361,0.0144,0.0137
i0_c5,1.0,0.325,0.008,0.0103
i0_c6,1.0,0.3283,0.0176,0.0109
i0_c7,1.0,0.3333,0.0088,0.0068
i0_g,0.0096,0.009,,
i1_c0,0.0128,0.0102,0.0096,0.0069
i1_c1,0.0096,0.0103,0.012,0.0107
i1_c2,0.0152,0.0108,0.0088,0.0083
i1_c3,0.0104,0.011,0.008,0.0076
i1_c4,0.0096,0.0113,0.0168,0.015
i1_c5,0.0104,0.0107,0.0136,0.0113
i1_c6,0.0096,0.0112,0.0072,0.0084
i1_c7,0.0184,0.0102,0.0096,0.0093
i1_g,0.0093,0.0117,,
i2_c0,0.0112,0.0118,0.0152,0.0115
i2_c1,0.0072,0.013,0.0096,0.0107
i2_c2,0.0128,0.0126,0.012,0.0085
i2_c3,0.0128,0.0124,0.0128,0.0064
i2_c4,0.0128,0.0128,0.008,0.0096
i2_c5,0.012,0.0124,0.0144,0.0177
i2_c6,0.0112,0.0128,0.0128,0.0133
i2_c7,0.016,0.0119,0.0088,0.0097
i2_g,0.0108,0.0093,,
i3_c0,0.0128,0.0097,0.0144,0.0131
i3_c1,0.0144,0.0094,0.0064,0.0082
i3_c2,0.016,0.01,0.0176,0.0111
i3_c3,0.008,0.0103,0.0128,0.0073
i3_c4,0.0088,0.0102,0.0192,0.0197
i3_c5,0.0056,0.0097,0.0136,0.0144
i3_c6,0.0152,0.0105,0.012,0.0105
i3_c7,0.0112,0.0099,0.012,0.0114
i3_g,0.0128,0.0102,,
i4_c0,0.016,0.01,0.0104,0.0114
i4_c1,0.0128,0.0102,0.0104,0.0131
i4_c2,0.016,0.01,0.008,0.0118
i4_c3,0.016,0.011,0.0096,0.0172
i4_c4,0.0088,0.0103,0.008,0.005
i4_c5,0.012,0.0105,0.0112,0.0114
i4_c6,0.0144,0.01,0.02,0.013
i4_c7,0.0104,0.0104,0.008,0.0128
i4_g,0.0117,0.0108,,
i5_c0,0.0216,0.0122,0.0088,0.0088
i5_c1,0.012,0.0118,0.0128,0.011
i5_c2,0.016,0.0122,0.0152,0.0112
i5_c3,0.0168,0.0122,0.008,0.0108
i5_c4,0.0152,0.0117,0.0056,0.0126
i5_c5,0.0136,0.0117,0.0216,0.0162
i5_c6,0.0144,0.0131,0.0104,0.0128
i5_c7,0.0112,0.0126,0.0088,0.0124
i5_g,0.0139,0.0149,,
i6_c0,0.0224,0.0144,0.0168,0.0124
i6_c1,0.012,0.0142,0.0128,0.0118
i6_c2,0.0152,0.014,0.016,0.0162
i6_c3,0.016,0.0143,0.0088,0.0081
i6_c4,0.0128,0.0133,0.0112,0.0079
i6_c5,0.0144,0.0143,0.0112,0.0103
i6_c6,0.0088,0.0147,0.0104,0.0124
i6_c7,0.0152,0.014,0.0096,0.0108
i6_g,0.0115,0.0149,,
i7_c0,0.0144,0.0164,0.0112,0.0095
i7_c1,0.0104,0.0167,0.016,0.0149
i7_c2,0.016,0.0162,0.0112,0.0139
i7_c3,0.0104,0.0177,0.0136,0.0122
i7_c4,0.0144,0.0172,0.0112,0.0121
i7_c5,0.0144,0.0175,0.0096,0.0105
i7_c6,0.0184,0.017,0.0208,0.0172
i7_c7,0.012,0.0164,0.0096,0.0102
i7_g,0.013,0.0127,,
i8_c0,0.0144,0.0142,0.0088,0.0098
i8_c1,0.0144,0.0145,0.0152,0.0169
i8_c2,0.0168,0.0134,0.016,0.0122
i8_c3,0.012,0.0138,0.0112,0.012
i8_c4,0.016,0.0136,0.0144,0.0126
i8_c5,0.0144,0.0147,0.0104,0.01
i8_c6,0.0112,0.0139,0.0088,0.008
i8_c7,0.0144,0.0131,0.0192,0.0139
i8_g,0.0116,0.0136,,
i9_c0,0.0096,0.0152,0.0112,0.0111
i9_c1,0.0104,0.0151,0.0096,0.0116
i9_c2,0.0136,0.0143,0.012,0.0135
i9_c3,0.0152,0.015,0.0056,0.0106
i9_c4,0.0168,0.0143,0.0072,0.0108
i9_c5,0.0104,0.0156,0.0128,0.012
i9_c6,0.0144,0.015,0.024,0.0176
i9_c7,0.0128,0.0142,0.0144,0.0151
i9_g,0.013,0.014,,
