file_name,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,1.0,0.3342,0.0168,0.0128,0,c0,0.5016666666666668,0.004516143881184002,0.5049821504514148,0.013801480088194042,0.21906666666666666,0.11274080401030004
i0_c1.npy,1.0,0.3244,0.0096,0.0107,0,c1,0.5025333333333334,0.005010211794148243,0.5083187344329871,0.011273808876681817,0.3961333333333334,0.20569669148746386
i0_c2.npy,1.0,0.3471,0.008,0.0095,0,c2,0.5,0.004466169126518476,0.5007849661944742,0.007163602390493197,0.3550666666666667,0.12336821128457508
i0_c3.npy,1.0,0.33,0.0096,0.0087,0,c3,0.4924666666666666,0.004216897226898267,0.47580077489146144,0.012049161524932833,0.19293333333333337,0.15864251917089844
i0_c4.npy,1.0,0.3372,0.004,0.0091,0,c4,0.5019333333333332,0.004580635569680502,0.5060246426917074,0.013460734474982772,0.21493333333333334,0.07886618765704068
i0_c5.npy,1.0,0.3287,0.0064,0.0079,0,c5,0.5022,0.0069156826609284554,0.5041082639940179,0.012070312082618743,0.36440000000000006,0.10813004516167866
i0_c6.npy,1.0,0.3279,0.0072,0.0096,0,c6,0.49533333333333335,0.00751768285813891,0.4887231885167915,0.016748643565188633,0.19933333333333336,0.06901426583604935
i0_c7.npy,1.0,0.3338,0.0144,0.0091,0,c7,0.512,0.004345112196480103,0.5223532058416235,0.010435363518419104,0.30946666666666667,0.07332909078636905
i0_g.npy,0.0075,0.0076,,,0,g,0.5005833333333334,0.0020397439926509247,0.5061256776696303,0.008121668369233507,0.19975,0.22330041610649395
i1_c0.npy,0.052,0.0263,0.0176,0.0123,1,c0,0.4949333333333333,0.006134782437507904,0.4863371133424656,0.015742254927332923,0.23,0.08380135241549905
