,0,1
i0_c0,0.9256,0.2822
i0_c1,0.924,0.2647
i0_c2,0.9416,0.2905
i0_c3,0.9464,0.2687
i0_c4,0.9464,0.2989
i0_c5,0.9376,0.2673
i0_c6,0.9328,0.2776
i0_c7,0.956,0.3052
i0_g,0.5079,0.3511
i1_c0,0.9288,0.2856
i1_c1,0.92,0.2716
i1_c2,0.9464,0.2907
i1_c3,0.948,0.2698
i1_c4,0.9464,0.3021
i1_c5,0.9408,0.2706
i1_c6,0.9296,0.2809
i1_c7,0.9496,0.3085
i1_g,0.5134,0.3557
i2_c0,0.9288,0.2809
i2_c1,0.9312,0.2735
i2_c2,0.9456,0.292
i2_c3,0.9512,0.2717
i2_c4,0.944,0.3049
i2_c5,0.9456,0.2672
i2_c6,0.932,0.2784
i2_c7,0.9464,0.306
i2_g,0.5066,0.3502
i3_c0,0.9304,0.2855
i3_c1,0.9272,0.2684
i3_c2,0.9432,0.2916
i3_c3,0.9472,0.2724
i3_c4,0.9456,0.2955
i3_c5,0.9448,0.2694
i3_c6,0.9288,0.2742
i3_c7,0.956,0.3075
i3_g,0.5066,0.3509
i4_c0,0.9256,0.279
i4_c1,0.9168,0.2691
i4_c2,0.9504,0.2978
i4_c3,0.9528,0.2716
i4_c4,0.9504,0.3021
i4_c5,0.9472,0.2695
i4_c6,0.9352,0.275
i4_c7,0.9464,0.2995
i4_g,0.5087,0.3528
