,0,1
i0_c0,1.0,0.3211
i0_c1,1.0,0.3121
i0_c2,1.0,0.3282
i0_c3,1.0,0.316
i0_c4,1.0,0.3193
i0_c5,1.0,0.311
i0_c6,1.0,0.315
i0_c7,1.0,0.3181
i0_g,0.8333,0.5219
i1_c0,1.0,0.3197
i1_c1,1.0,0.3098
i1_c2,1.0,0.3286
i1_c3,1.0,0.3138
i1_c4,1.0,0.3221
i1_c5,1.0,0.3095
i1_c6,1.0,0.3126
i1_c7,1.0,0.3151
i1_g,0.8337,0.5215
i2_c0,1.0,0.3223
i2_c1,1.0,0.3104
i2_c2,1.0,0.3282
i2_c3,1.0,0.3156
i2_c4,1.0,0.3221
i2_c5,1.0,0.3116
i2_c6,1.0,0.3162
i2_c7,1.0,0.318
i2_g,0.8348,0.5225
i3_c0,1.0,0.3175
i3_c1,1.0,0.3099
i3_c2,1.0,0.3284
i3_c3,1.0,0.3146
i3_c4,1.0,0.3213
i3_c5,1.0,0.3103
i3_c6,1.0,0.3125
i3_c7,1.0,0.3199
i3_g,0.8343,0.5202
i4_c0,1.0,0.32
i4_c1,1.0,0.3105
i4_c2,1.0,0.3283
i4_c3,1.0,0.315
i4_c4,1.0,0.3196
i4_c5,1.0,0.3122
i4_c6,1.0,0.3142
i4_c7,1.0,0.3185
i4_g,0.8348,0.5234
