,0,1
i0_c0,0.0312,0.0225
i0_c1,0.036,0.0225
i0_c2,0.0416,0.0373
i0_c3,0.028,0.0225
i0_c4,0.0288,0.0168
i0_c5,0.076,0.0475
i0_c6,0.0376,0.0225
i0_c7,0.0256,0.0225
i0_g,0.0293,0.0225
i1_c0,0.0624,0.0342
i1_c1,0.036,0.0225
i1_c2,0.0184,0.0183
i1_c3,0.028,0.0225
i1_c4,0.024,0.025
i1_c5,0.0328,0.0225
i1_c6,0.0376,0.0225
i1_c7,0.0296,0.0228
i1_g,0.0293,0.0225
i2_c0,0.0576,0.0379
i2_c1,0.036,0.0225
i2_c2,0.052,0.0368
i2_c3,0.0576,0.0417
i2_c4,0.0352,0.0257
i2_c5,0.04,0.0228
i2_c6,0.0376,0.0225
i2_c7,0.0408,0.0457
i2_g,0.0293,0.0225
i3_c0,0.0312,0.0225
i3_c1,0.036,0.0225
i3_c2,0.032,0.0227
i3_c3,0.0264,0.025
i3_c4,0.0648,0.031
i3_c5,0.0304,0.0247
i3_c6,0.0376,0.0225
i3_c7,0.0304,0.0232
i3_g,0.0293,0.0225
i4_c0,0.0304,0.0226
i4_c1,0.036,0.0225
i4_c2,0.0288,0.0202
i4_c3,0.0744,0.0559
i4_c4,0.0448,0.0132
i4_c5,0.0304,0.0247
i4_c6,0.0376,0.0225
i4_c7,0.0264,0.0225
i4_g,0.0293,0.0225
