,0,1
i0_c0,0.9976,0.3259
i0_c1,1.0,0.2954
i0_c2,1.0,0.3263
i0_c3,0.9984,0.3038
i0_c4,0.9992,0.3278
i0_c5,1.0,0.3095
i0_c6,0.9992,0.3152
i0_c7,0.9992,0.3358
i0_g,0.7838,0.5115
i1_c0,0.9992,0.3208
i1_c1,0.9984,0.3024
i1_c2,0.9992,0.3316
i1_c3,0.9976,0.3108
i1_c4,0.9984,0.3205
i1_c5,0.9976,0.3223
i1_c6,0.9968,0.3197
i1_c7,1.0,0.3217
i1_g,0.7876,0.512
i2_c0,0.996,0.3215
i2_c1,0.9992,0.3195
i2_c2,0.9992,0.3347
i2_c3,0.9968,0.3169
i2_c4,0.9992,0.3234
i2_c5,1.0,0.3175
i2_c6,0.9976,0.3192
i2_c7,0.9992,0.3192
i2_g,0.7906,0.5142
i3_c0,0.9976,0.3263
i3_c1,0.9992,0.3156
i3_c2,0.9992,0.3308
i3_c3,0.9976,0.3149
i3_c4,0.9984,0.319
i3_c5,0.9992,0.3021
i3_c6,0.9976,0.3159
i3_c7,1.0,0.3188
i3_g,0.7977,0.5173
i4_c0,0.9992,0.3234
i4_c1,0.9984,0.3074
i4_c2,0.9992,0.3213
i4_c3,1.0,0.3202
i4_c4,0.9984,0.3203
i4_c5,0.9992,0.3147
i4_c6,0.9992,0.3221
i4_c7,0.9992,0.3205
i4_g,0.7876,0.5155
