,0,1
i0_c0,0.0328,0.0227
i0_c1,0.036,0.0225
i0_c2,0.04,0.0291
i0_c3,0.0416,0.0266
i0_c4,0.052,0.0361
i0_c5,0.0568,0.034
i0_c6,0.0376,0.0225
i0_c7,0.0264,0.0225
i0_g,0.0293,0.0225
i1_c0,0.06,0.0427
i1_c1,0.036,0.0225
i1_c2,0.0344,0.0236
i1_c3,0.0608,0.033
i1_c4,0.0256,0.025
i1_c5,0.0576,0.0353
i1_c6,0.0376,0.0225
i1_c7,0.0256,0.0225
i1_g,0.0293,0.0225
i2_c0,0.0744,0.0472
i2_c1,0.036,0.0225
i2_c2,0.028,0.0226
i2_c3,0.0784,0.0518
i2_c4,0.024,0.025
i2_c5,0.0632,0.0433
i2_c6,0.0376,0.0225
i2_c7,0.0264,0.0226
i2_g,0.0293,0.0225
i3_c0,0.04,0.0243
i3_c1,0.036,0.0225
i3_c2,0.0336,0.0231
i3_c3,0.0816,0.0598
i3_c4,0.052,0.0446
i3_c5,0.0608,0.0386
i3_c6,0.0376,0.0225
i3_c7,0.0256,0.0225
i3_g,0.0293,0.0225
i4_c0,0.0592,0.0396
i4_c1,0.036,0.0225
i4_c2,0.0464,0.0382
i4_c3,0.0496,0.0279
i4_c4,0.076,0.0392
i4_c5,0.0432,0.0272
i4_c6,0.0376,0.0225
i4_c7,0.0264,0.0225
i4_g,0.0293,0.0225
