,epsilon_out,train_acc,test_acc,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
0,0.1,0.1285,0.126,0.5017083333333333,0.0007362159254518277,0.5061288838472141,0.002302736641015414,0.1396,0.012461273343175382
1,0.5,0.1404,0.1521,0.49406666666666665,0.000545180907793194,0.4810925938447455,0.0028515772761865035,0.1532333333333333,0.016521871026679222
2,1.0,0.1597,0.1604,0.4996749999999999,0.00038810436740648166,0.49898836899464644,0.0011701904522115664,0.16881666666666664,0.011641938078439613
3,5.0,0.1491,0.157,0.4959416666666667,0.0002744944848666785,0.4874380440378747,0.0013127956387754167,0.15845,0.011000568167144821
4,10.0,0.173,0.1698,0.502475,0.0005963430220938322,0.5066477248594001,0.0014115945430961722,0.18846666666666664,0.011250283947033913
5,50.0,0.1546,0.15,0.5019916666666666,0.0003445004434765724,0.5061274300816986,0.0012913032473889205,0.1662,0.008297790870667527
6,100.0,0.1614,0.157,0.5028583333333334,0.00034930486525223855,0.5082691735854998,0.0009883068571961506,0.17618333333333333,0.011716998572823824
7,500.0,0.2694,0.2655,0.501725,0.0004160829244273385,0.5031587582976617,0.0006285405344402837,0.2730333333333333,0.009290257740713603
8,1000.0,0.3648,0.3596,0.5028166666666666,8.49836585598704e-05,0.5039059461867801,0.00014940816682107344,0.3634833333333334,0.002722386616351341
9,5000.0,0.6629,0.654,0.5053083333333334,0.0009825208507824002,0.504183097320733,0.0010116284339195835,0.64615,0.025291615870349865
10,10000.0,0.7882,0.7578,0.5167416666666667,0.0007362159254518276,0.5110238998171949,8.852164215365298e-05,0.7763666666666666,0.03925347826060202
