,epsilon_out,train_acc,test_acc,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
0,0.1,0.1586,0.1584,0.5007500000000001,0.0004672615256292181,0.5022236854986437,0.0012784973239031068,0.17023333333333335,0.011212592127702785
1,0.5,0.1535,0.1591,0.49815000000000004,0.001365344889274012,0.4944991863276848,0.0037739662871891506,0.16746666666666665,0.01291919330126907
2,1.0,0.2002,0.2074,0.4965,0.0004193248541803153,0.49175656799685347,0.0012214675504849443,0.2098833333333333,0.007870708707324611
3,5.0,0.2477,0.2458,0.5017333333333333,6.236095644622549e-05,0.5034544282684457,0.0001653324003503681,0.2527833333333333,0.0037204017106878223
4,10.0,0.3685,0.3598,0.504875,0.0004150803135137379,0.5066902685196714,0.0005278842614150431,0.369,0.003086529874578689
5,50.0,0.6967,0.6837,0.5069750000000001,0.00041808093315369265,0.5051972430926582,0.000566642758863365,0.6810499999999999,0.027616465499166753
6,100.0,0.8025,0.7771,0.5133083333333333,0.0008829008375173945,0.5085981504723959,0.0001936777133143755,0.7864666666666666,0.037105195802684496
7,500.0,0.8845,0.8467,0.5210916666666666,0.0005869530550979872,0.5122825509307156,0.0003144312457398207,0.8807833333333334,0.04382208030459327
8,1000.0,0.8926,0.853,0.5210833333333333,0.0006229410530343311,0.5121755162823435,0.000271426607041563,0.8878333333333334,0.04339606997055021
9,5000.0,0.8938,0.8553,0.5218166666666667,0.0006853628398317427,0.5125945685234977,0.0002685657222763851,0.8888333333333334,0.04402127011141572
10,10000.0,0.8945,0.8549,0.5217666666666667,0.0007701010034765257,0.5125650288163107,0.00020378557464614642,0.8886166666666667,0.04392483794948923
