,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,1.0,0.3445,0.1794871794871795,0.1503,0,c0,0.5288461538461539,0.004895914204012633,0.587037037037037,0.018610880779853487,0.19658119658119658,0.009555846057691407
i0_c1.npy,1.0,0.3725,0.1538461538461538,0.1557,0,c1,0.4946581196581197,0.002388961514422844,0.4835802469135802,0.007363035827777017,0.16025641025641027,0.009791828408025295
i0_c2.npy,1.0,0.3516,0.1153846153846153,0.1197,0,c2,0.4764957264957265,0.004777923028845709,0.4199494949494949,0.02107489281182456,0.12820512820512822,0.02340694690193017
i0_c3.npy,1.0,0.3397,0.1923076923076923,0.1509,0,c3,0.5331196581196581,0.002388961514422844,0.5993382961124897,0.01007198308677503,0.20085470085470084,0.014173610215194019
i0_c4.npy,1.0,0.3357,0.1153846153846153,0.1261,0,c4,0.5096153846153846,0.010303045684821538,0.5377237851662403,0.03350733404882449,0.1260683760683761,0.02388961514422852
i0_c5.npy,1.0,0.3271,0.1025641025641025,0.1271,0,c5,0.5053418803418803,0.002388961514422844,0.5261904761904762,0.012218098665349722,0.1111111111111111,0.014173610215194019
i0_c6.npy,1.0,0.3666,0.0897435897435897,0.1654,0,c6,0.45405982905982906,0.002388961514422844,0.34164292497625826,0.013673647293430133,0.10042735042735045,0.015555790361710507
i0_c7.npy,1.0,0.3718,0.1282051282051282,0.1104,0,c7,0.5267094017094017,0.005753381204203509,0.6192028985507246,0.025811244291259094,0.141025641025641,0.018130943107347374
i0_c8.npy,1.0,0.3265,0.1153846153846153,0.1482,0,c8,0.48183760683760685,0.002388961514422844,0.4396997929606625,0.010995158274455498,0.1346153846153846,0.014333769086537114
i0_c9.npy,1.0,0.3422,0.1923076923076923,0.1792,0,c9,0.4797008547008547,0.00777789518085527,0.4542615966764574,0.018910788556222132,0.20726495726495728,0.021474093207523266
i0_c10.npy,1.0,0.3444,0.1282051282051282,0.1296,0,c10,0.5149572649572649,0.004777923028845729,0.5574333074333073,0.009464368809432782,0.14316239316239315,0.02388961514422853
i0_c11.npy,1.0,0.3477,0.1538461538461538,0.1486,0,c11,0.5128205128205128,0.007401926528072132,0.5405982905982905,0.022257122495726114,0.17094017094017092,0.009555846057691416
i0_c12.npy,1.0,0.3555,0.0897435897435897,0.1255,0,c12,0.4647435897435898,0.004895914204012633,0.36834795321637426,0.023765855413170302,0.10042735042735045,0.015555790361710505
i0_c13.npy,1.0,0.3444,0.2051282051282051,0.163,0,c13,0.5288461538461539,0.010303045684821537,0.5810832337714058,0.029174057256068985,0.20940170940170935,0.009555846057691417
i0_c14.npy,1.0,0.3503,0.1794871794871795,0.1436,0,c14,0.4903846153846154,0.004895914204012656,0.4763003599210496,0.010462183038710842,0.18803418803418806,0.014173610215194019
i0_c15.npy,1.0,0.3466,0.1666666666666666,0.1433,0,c15,0.47542735042735046,0.011944807572114259,0.4383336406662979,0.02513978483831759,0.17094017094017092,0.009555846057691416
i0_c16.npy,1.0,0.3076,0.1153846153846153,0.1195,0,c16,0.49572649572649574,0.0060436477024491154,0.48288953609319746,0.021831399293882784,0.12606837606837606,0.013681889396224035
i0_c17.npy,1.0,0.3707,0.1666666666666666,0.138,0,c17,0.5523504273504273,0.002388961514422844,0.7209551656920078,0.01078529513674299,0.17094017094017092,0.0060436477024491285
i0_c18.npy,1.0,0.3571,0.0769230769230769,0.1101,0,c18,0.4797008547008547,0.0023889615144228643,0.4047385620915032,0.006849115004945968,0.08760683760683761,0.018749923904684017
i0_c19.npy,1.0,0.3401,0.1282051282051282,0.1361,0,c19,0.5,0.011703473450965087,0.49603174603174605,0.03482128725155604,0.1474358974358974,0.0293754852240759
i0_c20.npy,1.0,0.336,0.1282051282051282,0.1344,0,c20,0.5202991452991453,0.005753381204203533,0.5861987307000095,0.01560825647402095,0.13675213675213674,0.01911169211538282
i0_c21.npy,1.0,0.3566,0.2307692307692307,0.1426,0,c21,0.548076923076923,0.00489591420401268,0.615215907151391,0.00600851178116375,0.2564102564102564,0.018130943107347374
i0_c22.npy,1.0,0.3487,0.141025641025641,0.1476,0,c22,0.49572649572649574,0.004777923028845688,0.4852603327965646,0.014887063515876884,0.14957264957264957,0.014173610215194019
i0_c23.npy,1.0,0.3757,0.1282051282051282,0.1344,0,c23,0.5138888888888888,0.0023889615144228856,0.5600762527233115,0.012755451728066265,0.13034188034188032,0.004777923028845708
i0_c24.npy,1.0,0.3341,0.1282051282051282,0.1409,0,c24,0.5363247863247863,0.012641196117734219,0.6694444444444443,0.04347909956249592,0.14316239316239315,0.02388961514422853
i0_c25.npy,1.0,0.3529,0.1923076923076923,0.1471,0,c25,0.5459401709401709,0.0023889615144228856,0.6390893015030946,0.009657718529567006,0.21153846153846154,0.009791828408025307
i0_c26.npy,1.0,0.3353,0.141025641025641,0.1415,0,c26,0.5053418803418803,0.002388961514422844,0.5178260869565218,0.007997321542795007,0.1581196581196581,0.0060436477024491154
i0_c27.npy,1.0,0.347,0.141025641025641,0.1407,0,c27,0.5053418803418803,0.009374961952342022,0.5185403726708074,0.02799820488200704,0.16025641025641027,0.009791828408025295
i0_c28.npy,1.0,0.3486,0.1282051282051282,0.1451,0,c28,0.5010683760683761,0.009374961952342026,0.5039251207729468,0.03135011908845594,0.13675213675213674,0.014173610215194019
i0_c29.npy,1.0,0.3482,0.141025641025641,0.1497,0,c29,0.48717948717948717,0.0,0.45733433233433235,0.004023012359832597,0.13888888888888887,0.015555790361710512
i0_c30.npy,1.0,0.3343,0.1538461538461538,0.1632,0,c30,0.47222222222222227,0.0030218238512245512,0.4254992319508448,0.004344742127106263,0.1581196581196581,0.0060436477024491154
i0_c31.npy,1.0,0.3359,0.1794871794871795,0.1591,0,c31,0.48931623931623935,0.007994994416183626,0.47316017316017317,0.019098384403561697,0.1901709401709402,0.015555790361710507
i0_c32.npy,1.0,0.3562,0.0769230769230769,0.1237,0,c32,0.49786324786324787,0.009555846057691417,0.48416289592760187,0.04665975353923988,0.08974358974358974,0.01958365681605059
i0_c33.npy,1.0,0.3312,0.1153846153846153,0.1507,0,c33,0.47863247863247865,0.004777923028845708,0.4381144781144781,0.006412528407874692,0.14957264957264957,0.014173610215194019
i0_c34.npy,1.0,0.3535,0.1153846153846153,0.1544,0,c34,0.46367521367521375,0.0060436477024491285,0.39797979797979793,0.002856997095703241,0.141025641025641,0.018130943107347374
i0_c35.npy,1.0,0.3456,0.141025641025641,0.1359,0,c35,0.5256410256410257,0.00370096326403605,0.588722002635046,0.01439347961024326,0.17094017094017092,0.0060436477024491285
i0_c36.npy,1.0,0.3425,0.141025641025641,0.1526,0,c36,0.49252136752136755,0.0023889615144228643,0.47587462988935636,0.008107764417330151,0.14957264957264957,0.01911169211538282
i0_c37.npy,1.0,0.3544,0.0897435897435897,0.1744,0,c37,0.44764957264957267,0.0023889615144228643,0.31587615283267456,0.005155624454050889,0.08974358974358974,0.0
i0_c38.npy,1.0,0.3461,0.1025641025641025,0.1457,0,c38,0.48183760683760685,0.009374961952341998,0.44303030303030305,0.01996323526303102,0.1346153846153846,0.009791828408025307
i0_c39.npy,1.0,0.3629,0.1923076923076923,0.1588,0,c39,0.4946581196581197,0.002388961514422844,0.48672205930270446,0.005948793753750327,0.1987179487179487,0.009791828408025295
i0_c40.npy,1.0,0.3464,0.1666666666666666,0.1619,0,c40,0.5128205128205128,0.007401926528072132,0.537037037037037,0.017322487901731208,0.18589743589743588,0.0328948810220954
i0_c41.npy,1.0,0.3438,0.1025641025641025,0.1396,0,c41,0.4871794871794872,0.003700963264036066,0.44847020933977455,0.013781999008553708,0.11324786324786323,0.015555790361710507
i0_c42.npy,1.0,0.3458,0.1025641025641025,0.1714,0,c42,0.4743589743589744,0.003700963264036066,0.416405433646813,0.01435593695301367,0.13034188034188035,0.021474093207523266
i0_c43.npy,1.0,0.3555,0.1153846153846153,0.1231,0,c43,0.5213675213675213,0.007994994416183626,0.6020833333333334,0.02543032419944522,0.12393162393162394,0.01911169211538281
i0_c44.npy,1.0,0.3381,0.0897435897435897,0.129,0,c44,0.4380341880341881,0.004777923028845709,0.3095238095238096,0.026172432456890705,0.10256410256410257,0.018130943107347367
i0_c45.npy,1.0,0.339,0.1282051282051282,0.1513,0,c45,0.4497863247863248,0.002388961514422844,0.3624247400109469,0.00831375104174902,0.13247863247863245,0.0060436477024491285
i0_c46.npy,1.0,0.3408,0.1538461538461538,0.1505,0,c46,0.46047008547008556,0.005753381204203528,0.4010992275698158,0.01219196464048711,0.16025641025641027,0.009791828408025295
i0_c47.npy,1.0,0.3561,0.0641025641025641,0.148,0,c47,0.40598290598290593,0.007994994416183638,0.22113095238095234,0.04119309962743881,0.07692307692307691,0.02340694690193017
i0_c48.npy,1.0,0.3315,0.0897435897435897,0.1156,0,c48,0.5235042735042735,0.0030218238512245512,0.6644688644688644,0.05182600056232374,0.10256410256410257,0.023406946901930178
i0_c49.npy,1.0,0.3411,0.1923076923076923,0.1345,0,c49,0.5395299145299145,0.002388961514422844,0.6058707757296468,0.005814369023641451,0.2264957264957265,0.012087295404898245
i0_c50.npy,1.0,0.3422,0.1282051282051282,0.1568,0,c50,0.4903846153846154,0.004895914204012657,0.46636363636363637,0.017682538740478985,0.13675213675213674,0.012087295404898259
