,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.9552,0.569,0.944,0.57,0,c0,0.6849333333333333,0.005068420748999545,0.624197963524776,0.0017446741638441282,0.9298666666666665,0.0351808028459967
i0_c1.npy,0.9664,0.5603,0.9664,0.5593,0,c1,0.7068,0.006260990336999425,0.6407313032383009,0.00038765217757726555,0.9415999999999999,0.030410524493997147
i0_c2.npy,0.9664,0.5569,0.9664,0.557,0,c2,0.6850666666666666,0.004770278351999564,0.6210943017769867,0.0016187598362412694,0.9496000000000001,0.03398823325799678
i0_c3.npy,0.9488,0.5703,0.9376,0.5643,0,c3,0.6902666666666667,0.0024621580416826017,0.6294746484780399,0.002940785808812888,0.9255999999999999,0.02755455195305003
i0_c4.npy,0.9616,0.5749,0.9456,0.5733,0,c4,0.6947999999999999,0.001649242250247044,0.6324883154237038,0.004450210872164102,0.9309333333333334,0.03065738990122208
i0_c5.npy,0.9728,0.5681,0.96,0.5657,0,c5,0.6922666666666667,0.0029814239699997224,0.628609072737076,0.00337251017437312,0.9405333333333333,0.03279566366999695
i0_c6.npy,0.9552,0.5452,0.9504,0.5423,0,c6,0.7008000000000001,0.0017888543819998416,0.6376680828246163,0.004231134238071376,0.9309333333333334,0.029217954905997223
i0_c7.npy,0.9568,0.567,0.9488,0.5683,0,c7,0.6854666666666667,0.007453559924999306,0.6233087583099525,0.0008518729242432543,0.9373333333333332,0.03279566366999691
i0_c8.npy,0.9408,0.57,0.944,0.5686,0,c8,0.6865333333333333,0.010092021050755327,0.6272434044878722,0.001306434868046615,0.9192,0.04329618920875138
i0_c9.npy,0.9392,0.5551,0.9456,0.5546,0,c9,0.6882666666666667,0.004070490005992992,0.6283779141866562,0.0033872164887536593,0.9224,0.037565942021996465
i0_c10.npy,0.9776,0.5349,0.968,0.534,0,c10,0.7074666666666666,0.002385139175999761,0.6395114639814546,0.006134612724899617,0.952,0.020047942537826664
i0_c11.npy,0.9296,0.5904,0.928,0.5866,0,c11,0.6788,0.004124722212868805,0.6213056931937198,0.0011543381486353547,0.916,0.027554551953050024
i0_c12.npy,0.9632,0.5727,0.944,0.5658,0,c12,0.6848000000000001,0.0025298221281346935,0.6241503417836952,0.006947383421787163,0.9306666666666668,0.026236530935997537
i0_c13.npy,0.9504,0.5574,0.9408,0.5554,0,c13,0.7044,0.003124099870362671,0.6440855897171404,0.003719966275709695,0.9144,0.03041052449399714
i0_c14.npy,0.9408,0.584,0.9232,0.5797,0,c14,0.6817333333333334,0.004764684902721494,0.6251559083355199,0.002156120046792944,0.9082666666666667,0.03483038265014547
i0_c15.npy,0.9584,0.5564,0.9584,0.5547,0,c15,0.7014666666666667,0.007453559924999306,0.6365100495176844,0.0011961138207421923,0.9391999999999999,0.028621670111997302
i0_g.npy,0.7524,0.7202,,,0,g,0.5178916666666666,0.0006821636330252662,0.5122512405878658,0.00039125998685706723,0.74955,0.047874758485030526
i1_c0.npy,0.9712,0.6214,0.976,0.6226,1,c0,0.6736000000000001,0.0032331615074619145,0.6106315065400063,0.0011017170173718163,0.9583999999999998,0.025043961347997662
i1_c1.npy,0.9792,0.6046,0.9776,0.6042,1,c1,0.6954666666666666,0.0013597385369580749,0.626927444402772,0.004319075779414751,0.9661333333333334,0.018484828613998295
i1_c2.npy,0.9824,0.596,0.9808,0.5963,1,c2,0.6822666666666667,0.00364904858224108,0.6164079259817938,0.006169318565581281,0.9664,0.020047942537826678
i1_c3.npy,0.9664,0.6224,0.9552,0.6168,1,c3,0.6674666666666668,0.0013597385369580749,0.6074612372535941,0.00457795487037323,0.9477333333333333,0.023851391759997773
i1_c4.npy,0.9776,0.6152,0.9696,0.6122,1,c4,0.6866666666666666,0.0009977753031397067,0.6206251498756131,0.005219561539970682,0.9616000000000001,0.026484712571594973
i1_c5.npy,0.9824,0.6052,0.976,0.6031,1,c5,0.6928000000000001,0.0011313708498985084,0.6250802835841899,0.0044198149077059245,0.9642666666666667,0.020524673498553456
i1_c6.npy,0.9776,0.5889,0.9776,0.5917,1,c6,0.6873333333333331,0.0014907119849998196,0.6211722853958138,0.002575629180801548,0.9607999999999999,0.023255106965997776
i1_c7.npy,0.9744,0.6213,0.9712,0.6192,1,c7,0.6661333333333334,0.004224794538067938,0.6044445408786826,0.0007900935577375187,0.9616000000000001,0.028621670111997347
i1_c8.npy,0.9712,0.6047,0.9712,0.604,1,c8,0.6774666666666667,0.0002981423969999805,0.6151039155819807,0.004111255735587361,0.9493333333333333,0.02742910052399742
i1_c9.npy,0.9744,0.6002,0.9712,0.5987,1,c9,0.6882666666666667,0.0029814239699997224,0.6223400452251732,0.0029027868772105933,0.9584,0.032199378875996984
i1_c10.npy,0.9904,0.584,0.9872,0.576,1,c10,0.7009333333333334,0.0020869967789998224,0.6292291884552577,0.00433337920007943,0.9789333333333333,0.014907119849998611
i1_c11.npy,0.9536,0.6255,0.9456,0.6262,1,c11,0.6646666666666666,0.0002981423969999391,0.605845608225461,0.0030927807078050215,0.9431999999999999,0.023255106965997818
i1_c12.npy,0.9872,0.6209,0.984,0.618,1,c12,0.6744,0.0025298221281347347,0.6106050673978696,0.0019071415720896233,0.9632000000000001,0.026484712571594956
i1_c13.npy,0.9664,0.5952,0.9632,0.5948,1,c13,0.6955999999999999,0.001649242250247071,0.6299064501376613,0.0033109632952298246,0.9490666666666666,0.02588865045193013
i1_c14.npy,0.9632,0.625,0.9552,0.6228,1,c14,0.6650666666666666,0.0029814239699997224,0.6057807699692781,0.0021065108514992797,0.9458666666666665,0.03160309408199702
i1_c15.npy,0.9808,0.5991,0.9824,0.593,1,c15,0.6946666666666665,0.001192569587999922,0.6262253618204812,0.003311584346417062,0.9663999999999998,0.025043961347997662
i1_g.npy,0.7937,0.7577,,,1,g,0.5194833333333333,0.0001545603082582826,0.5126535421246441,0.0008170206964940506,0.7919166666666667,0.03949719047673588
i2_c0.npy,0.9888,0.6415,0.9872,0.6418,2,c0,0.6776,0.0011313708498984691,0.6106737551787562,0.0019092293822724146,0.9802666666666667,0.019081113407998212
i2_c1.npy,0.9856,0.6204,0.9792,0.6159,2,c1,0.6902666666666667,0.0018714225130157728,0.6215575860597439,0.0036348359601965302,0.9733333333333333,0.013118265467998769
i2_c2.npy,0.9888,0.6112,0.9824,0.6093,2,c2,0.6757333333333335,0.0015776212754932354,0.6103213834200615,0.004295740938181031,0.9730666666666666,0.020869967789998053
i2_c3.npy,0.976,0.6464,0.9744,0.6437,2,c3,0.6638666666666666,0.0032795663669997026,0.6016994367671132,0.004677806076827576,0.9703999999999998,0.016099689437998495
i2_c4.npy,0.984,0.6342,0.9744,0.6299,2,c4,0.6844000000000001,0.002683281572999742,0.6177015021442078,0.004833581620510189,0.9685333333333334,0.016695974231998412
i2_c5.npy,0.9904,0.6222,0.9888,0.6222,2,c5,0.6853333333333333,0.002981423969999681,0.6164158878114377,0.004190514691352107,0.9818666666666666,0.011925695879998848
i2_c6.npy,0.9872,0.6128,0.9888,0.6113,2,c6,0.6936000000000001,0.0050173033925937915,0.6236938351847514,0.0062359823656954385,0.9770666666666666,0.012654731218885006
i2_c7.npy,0.9824,0.6385,0.9776,0.6355,2,c7,0.6621333333333334,0.0013597385369580749,0.6007016820281647,0.001666429004036165,0.9674666666666667,0.020524673498553456
i2_c8.npy,0.968,0.6251,0.968,0.6218,2,c8,0.6741333333333334,0.0014360439485692044,0.6113407361397488,0.0022649701129070815,0.9565333333333333,0.022062537377997935
i2_c9.npy,0.9792,0.6223,0.9712,0.6195,2,c9,0.6761333333333334,0.0018714225130157754,0.6128089623478478,0.004929407553466517,0.9578666666666665,0.022658822171997856
i2_c10.npy,0.9872,0.6048,0.984,0.6032,2,c10,0.6858666666666666,0.0023851391759998025,0.6175266227202859,0.0037545372262780636,0.9770666666666666,0.01192569587999889
i2_c11.npy,0.9776,0.6388,0.9696,0.6367,2,c11,0.6731999999999999,0.004472135954999584,0.6097527867673499,0.006155418339356221,0.9634666666666666,0.017292259025998374
i2_c12.npy,0.992,0.6365,0.9856,0.633,2,c12,0.6686666666666667,0.0025888650451930052,0.6043733126898421,0.004003366872844374,0.9773333333333333,0.014907119849998611
i2_c13.npy,0.984,0.6203,0.9744,0.6162,2,c13,0.6918666666666667,0.0022350739485653436,0.6241444497404801,0.004672598795142596,0.9653333333333335,0.016695974231998412
i2_c14.npy,0.9632,0.6447,0.952,0.6412,2,c14,0.6636000000000001,0.0008944271909999414,0.6039707891791316,0.002599124702379996,0.9509333333333333,0.023851391759997773
i2_c15.npy,0.984,0.6141,0.984,0.6184,2,c15,0.6869333333333333,0.000596284793999961,0.6189857906794686,0.0023305246147686002,0.9728,0.017888543819998333
i2_g.npy,0.8096,0.7704,,,2,g,0.5196833333333334,0.0006315765107165588,0.5124749370035627,0.00018887963447814345,0.8090833333333333,0.035549140480311034
i3_c0.npy,0.9904,0.659,0.9856,0.6548,3,c0,0.6674666666666668,0.0005962847939999196,0.6032182627122221,0.0028331947256892763,0.9792,0.01788854381999829
i3_c1.npy,0.9904,0.6323,0.9952,0.6263,3,c1,0.6861333333333333,0.0011925695879998804,0.6162813980142785,0.0031973823697488695,0.9869333333333333,0.014907119849998611
i3_c2.npy,0.9808,0.6269,0.9792,0.6215,3,c2,0.6650666666666667,0.000596284793999961,0.6028173702339159,0.0027715189702883585,0.9682666666666666,0.017292259025998374
i3_c3.npy,0.9824,0.6602,0.9744,0.6553,3,c3,0.6547999999999999,0.0008944271909999414,0.5958605309628809,0.0025934900605963157,0.9626666666666667,0.015503404643998528
i3_c4.npy,0.9824,0.6425,0.9824,0.6403,3,c4,0.6784000000000002,0.007155417527999326,0.6121402553864098,0.008087779611988134,0.9754666666666667,0.01550340464399857
i3_c5.npy,0.9872,0.6379,0.9904,0.6365,3,c5,0.6850666666666667,0.0038273866918419382,0.6161426956602568,0.00538531892419468,0.9826666666666667,0.01516252690755147
i3_c6.npy,0.9936,0.6331,0.9904,0.6288,3,c6,0.6876000000000001,0.004472135954999583,0.6178254303814564,0.005628807606358411,0.9845333333333334,0.013118265467998727
i3_c7.npy,0.9824,0.6499,0.9792,0.6446,3,c7,0.658,0.0037735924528226254,0.5975552671024492,0.004928100681871689,0.9688,0.016099689437998492
i3_c8.npy,0.976,0.6367,0.9696,0.6382,3,c8,0.6673333333333332,0.005664705542999506,0.6051626747451798,0.0062095358648105465,0.964,0.012521980673998808
i3_c9.npy,0.9856,0.6323,0.9808,0.6336,3,c9,0.6738666666666666,0.002758421448743652,0.6086258566195177,0.005005701361003407,0.9752000000000001,0.019677398201998132
i3_c10.npy,0.992,0.6227,0.992,0.6244,3,c10,0.6850666666666668,0.004173993557999603,0.6155936138615391,0.004729109554777568,0.9861333333333334,0.009540556703999085
i3_c11.npy,0.9808,0.6475,0.9744,0.647,3,c11,0.6705333333333333,0.002825282680055611,0.6075971246750835,0.004400146987866278,0.9637333333333333,0.015281652034020694
i3_c12.npy,0.9952,0.6501,0.9888,0.6515,3,c12,0.6649333333333334,0.0035602746460849637,0.6012550249094878,0.004733120342217469,0.9802666666666666,0.015503404643998528
i3_c13.npy,0.9856,0.634,0.9856,0.6344,3,c13,0.6848000000000001,0.0025298221281346935,0.6174403737191133,0.004466682898325882,0.9722666666666666,0.015503404643998528
i3_c14.npy,0.9792,0.6579,0.9744,0.6542,3,c14,0.6622666666666667,0.0018714225130157754,0.601023797550088,0.0013390002336538796,0.9656000000000001,0.019677398201998174
i3_c15.npy,0.992,0.6331,0.9888,0.6318,3,c15,0.6818666666666667,0.000596284793999961,0.6135787208146555,0.0029373810472236813,0.9829333333333334,0.016695974231998412
i3_g.npy,0.8229,0.7829,,,3,g,0.5202999999999999,0.00014433756729739054,0.5126839781044717,0.0004663685599605465,0.8217166666666668,0.03270104058826804
i4_c0.npy,0.9872,0.6689,0.9888,0.6636,4,c0,0.6699999999999999,0.0020000000000000165,0.6046586092500585,0.0033560886898027728,0.9826666666666667,0.013714550261998732
