,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9792,0.5916,0.2832,0.2815
i0_c1,0.9808,0.5748,0.2928,0.2503
i0_c2,0.992,0.5644,0.3216,0.2912
i0_c3,0.968,0.5923,0.3648,0.2937
i0_c4,0.9824,0.5823,0.296,0.2984
i0_c5,0.9808,0.5769,0.288,0.2906
i0_c6,0.9888,0.5547,0.3168,0.2938
i0_c7,0.9808,0.5832,0.2864,0.309
i0_c8,0.968,0.5807,0.3008,0.2683
i0_c9,0.9776,0.5658,0.3392,0.2998
i0_c10,0.9888,0.5459,0.3424,0.2736
i0_c11,0.976,0.5897,0.3408,0.3117
i0_c12,0.9888,0.5886,0.2608,0.2351
i0_c13,0.9712,0.5734,0.2528,0.249
i0_c14,0.968,0.5983,0.3104,0.2912
i0_c15,0.984,0.5677,0.2816,0.252
i0_g,0.5074,0.4936,,
i1_c0,0.992,0.6223,0.2784,0.2746
i1_c1,0.9952,0.5996,0.32,0.2743
i1_c2,0.9968,0.5947,0.344,0.3096
i1_c3,0.9872,0.6232,0.3392,0.3159
i1_c4,0.992,0.6104,0.32,0.2913
i1_c5,0.9936,0.6094,0.3008,0.2868
i1_c6,0.9952,0.5888,0.36,0.319
i1_c7,0.9904,0.6196,0.3344,0.3005
i1_c8,0.9744,0.6068,0.3136,0.2925
i1_c9,0.9856,0.5985,0.3136,0.3149
i1_c10,0.9968,0.5799,0.3168,0.2983
i1_c11,0.984,0.6167,0.3472,0.2927
i1_c12,0.9952,0.6208,0.3216,0.2821
i1_c13,0.9872,0.5979,0.3488,0.3159
i1_c14,0.9904,0.6232,0.3184,0.3127
i1_c15,0.9936,0.5987,0.296,0.2845
i1_g,0.5422,0.5209,,
i2_c0,0.9968,0.6352,0.3616,0.3339
i2_c1,0.9936,0.6162,0.344,0.2986
i2_c2,1.0,0.6118,0.3552,0.305
i2_c3,0.9936,0.6434,0.3328,0.3146
i2_c4,0.9952,0.6257,0.3184,0.309
i2_c5,0.9984,0.6229,0.3312,0.3276
i2_c6,0.9952,0.6098,0.3968,0.3253
i2_c7,0.9904,0.6288,0.3504,0.3117
i2_c8,0.9856,0.6139,0.2736,0.2915
i2_c9,0.9872,0.6129,0.2848,0.2765
i2_c10,0.9984,0.6058,0.312,0.2971
i2_c11,0.992,0.6289,0.3168,0.3121
i2_c12,0.9968,0.6349,0.3584,0.2904
