,train_acc,test_acc,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.1472,0.1561,0,c0,0.4882666666666667,0.004858897908876961,0.46497140522875813,0.014251497524233726,0.15866666666666665,0.014082928988278284
i0_c1.npy,0.1776,0.1414,0,c1,0.5190666666666667,0.0034692298216687186,0.5554489285426104,0.009931825502319965,0.19200000000000003,0.014340618303731999
i0_c2.npy,0.192,0.1709,0,c2,0.5358666666666666,0.0027096535243868697,0.6074873011470893,0.011905980760940866,0.20346666666666666,0.0058727241454787265
i0_c3.npy,0.1616,0.1749,0,c3,0.5053333333333333,0.0011925695879998804,0.515254460577942,0.002173818331706061,0.17866666666666667,0.014360439485692007
i0_c4.npy,0.1232,0.1267,0,c4,0.5025333333333333,0.0030081371127142677,0.5097690234096159,0.010333899306937667,0.13599999999999998,0.011351358215356136
i0_c5.npy,0.1472,0.1701,0,c5,0.49079999999999996,0.0026832815729997414,0.47366647223861297,0.005695016931849682,0.16373333333333331,0.012067955732250404
i0_c6.npy,0.1488,0.1553,0,c6,0.5058666666666668,0.003799415159673342,0.5195543482569134,0.012467945293064268,0.16080000000000003,0.005824087911424413
i0_c7.npy,0.1472,0.1541,0,c7,0.48600000000000004,0.0017126976771553585,0.45883205456095477,0.0029102908190775808,0.15546666666666667,0.0072980971644821405
i0_c8.npy,0.1584,0.1408,0,c8,0.5072,0.002309401076758518,0.5232303190636524,0.008416478832182812,0.16613333333333336,0.008686131986614576
i0_c9.npy,0.1504,0.1269,0,c9,0.5078666666666666,0.001753726191728797,0.5261715947196666,0.007053431388819465,0.16159999999999997,0.01164817582284884
i0_c10.npy,0.1984,0.1712,0,c10,0.52,0.002993325909419179,0.5524281664281552,0.009938436998886897,0.21333333333333335,0.012921644202224759
i0_c11.npy,0.1648,0.1681,0,c11,0.48773333333333335,0.004173993557999614,0.4676711963826083,0.009648882141095707,0.17653333333333332,0.009805214032453465
i0_c12.npy,0.1808,0.1481,0,c12,0.5305333333333334,0.0032795663669997017,0.5976825443982307,0.01712611962318592,0.1890666666666667,0.009529369805443009
i0_c13.npy,0.1632,0.1221,0,c13,0.5137333333333334,0.004488008714588482,0.5434501780163604,0.01387261143874071,0.17413333333333333,0.0135895384599903
i0_c14.npy,0.168,0.1393,0,c14,0.5181333333333333,0.003155242550986471,0.5547032625846186,0.011211594314991524,0.18586666666666665,0.009439397344228193
i0_c15.npy,0.208,0.1766,0,c15,0.5095999999999999,0.0013856406460551094,0.5224320332295697,0.003442005662396116,0.22506666666666666,0.017347686365109964
i0_g.npy,0.1795,0.1797,0,g,0.5001083333333334,0.0005995947705649922,0.5002646830338084,0.001460150968095101,0.19053333333333333,0.013727304501936604
i1_c0.npy,0.1632,0.1645,1,c0,0.5017333333333333,0.0039575525545748795,0.5039416438152629,0.009443901657544178,0.18239999999999998,0.023094010767585032
i1_c1.npy,0.1728,0.1668,1,c1,0.5110666666666667,0.0016275407487644888,0.5319677910152285,0.0058921391559246875,0.1856,0.006661331198291628
i1_c2.npy,0.1232,0.1378,1,c2,0.49639999999999995,0.0008944271909999208,0.4869694051577891,0.0020692550188517985,0.1336,0.014772948250095506
i1_c3.npy,0.1712,0.1727,1,c3,0.5041333333333333,0.0013399834161494592,0.5112503517315204,0.002801399916897474,0.1848,0.01488802650902172
i1_c4.npy,0.1856,0.1597,1,c4,0.5226666666666667,0.005359933664597807,0.5674088454859415,0.020799855816936552,0.19626666666666667,0.014360439485692007
i1_c5.npy,0.1808,0.1849,1,c5,0.5029333333333333,0.00037712361663283614,0.5077183381073541,0.0013936091523330063,0.1952,0.013031244504395318
i1_c6.npy,0.184,0.182,1,c6,0.5018666666666667,0.0018856180831641283,0.5052057781199245,0.005043519645635667,0.19279999999999997,0.011379513756454336
i1_c7.npy,0.144,0.1612,1,c7,0.49160000000000004,0.0017126976771553587,0.4741869142307232,0.004110366366735088,0.15386666666666668,0.011699952516522824
i1_c8.npy,0.1904,0.1714,1,c8,0.5176,0.003864367132317157,0.5492657523355198,0.010605029258657863,0.1968,0.011684747893443531
i1_c9.npy,0.1808,0.1593,1,c9,0.5324000000000001,0.0017126976771553609,0.60020433617281,0.005809767798253869,0.19466666666666665,0.014799399387212385
i1_c10.npy,0.1312,0.1448,1,c10,0.5,0.002847220867208351,0.500334091651217,0.008748173004398004,0.14186666666666667,0.013968854243956042
i1_c11.npy,0.1696,0.1626,1,c11,0.5074666666666667,0.001995550606279453,0.5224013551797658,0.006095934759479576,0.17546666666666666,0.008499934640271592
i1_c12.npy,0.2224,0.1949,1,c12,0.5114666666666666,0.0009977753031397067,0.5254093578732729,0.002498220642946941,0.23786666666666667,0.013628727828459348
i1_c13.npy,0.1408,0.1456,1,c13,0.4950666666666667,0.002462158041682589,0.4845559428174992,0.006508077241500959,0.15013333333333334,0.008686131986614583
i1_c14.npy,0.168,0.1762,1,c14,0.49933333333333324,0.0014907119849998413,0.49788922661263085,0.004177582623804519,0.17600000000000002,0.01385640646055103
i1_c15.npy,0.1744,0.1501,1,c15,0.5174666666666666,0.002862788073811186,0.5516595112600492,0.010061378950752943,0.18853333333333333,0.013838432795017733
i1_g.npy,0.2195,0.2112,1,g,0.50405,0.000304138126514917,0.5090666335839474,0.0009723739918221988,0.22831666666666664,0.009491121582241416
i2_c0.npy,0.2464,0.2216,2,c0,0.508,0.0004618802153517138,0.5162858799259006,0.000877347450153173,0.25386666666666663,0.012382065883993501
i2_c1.npy,0.1856,0.1677,2,c1,0.5062666666666666,0.0007180219742845834,0.5167344543894479,0.0019058733421823458,0.19386666666666666,0.011177755688071828
i2_c2.npy,0.1696,0.1838,2,c2,0.4918666666666666,0.002186829262247559,0.4783143846482274,0.006522691271471244,0.1824,0.012220201853215576
i2_c3.npy,0.1792,0.1677,2,c3,0.5055999999999999,0.0038643671323171564,0.5154235378411034,0.009989865889341176,0.1882666666666667,0.012855435512740215
i2_c4.npy,0.232,0.1836,2,c4,0.5229333333333334,0.002981423969999729,0.5532825386288683,0.008578946887877288,0.23946666666666663,0.00610427900920512
i2_c5.npy,0.1376,0.1534,2,c5,0.48933333333333334,0.0019413626371414853,0.4662794101091974,0.008568929802602215,0.15146666666666667,0.01756764703146731
i2_c6.npy,0.2112,0.1973,2,c6,0.5121333333333333,0.0011699952516522807,0.5288885726933535,0.002271838956558612,0.22240000000000001,0.015457468529268742
i2_c7.npy,0.2224,0.2055,2,c7,0.5087999999999999,0.0024440403706430997,0.5202857299008183,0.006204045704948016,0.2293333333333333,0.009934899205438474
i2_c8.npy,0.1616,0.1495,2,c8,0.5072,0.005731782736054589,0.5236306881222835,0.017595795783938616,0.16666666666666666,0.006687965975458378
i2_c9.npy,0.1648,0.153,2,c9,0.5037333333333334,0.0026398653164298007,0.511608623548922,0.00820853643168462,0.18000000000000002,0.01989304736166215
i2_c10.npy,0.1744,0.1638,2,c10,0.49466666666666664,0.0009977753031397264,0.48571898176721756,0.002936022832791782,0.1829333333333333,0.010478337442340536
i2_c11.npy,0.1664,0.1664,2,c11,0.4977333333333333,0.0024621580416826034,0.4931847859525675,0.006986259646954386,0.17759999999999998,0.01586610643268642
i2_c12.npy,0.1904,0.1825,2,c12,0.5093333333333333,0.0017074997966487334,0.5243762289071213,0.004811040283658271,0.20186666666666667,0.013175060615504663
i2_c13.npy,0.1568,0.1721,2,c13,0.49720000000000003,0.002602562839459091,0.492080165883883,0.006647149989401071,0.17120000000000002,0.011351358215356131
i2_c14.npy,0.1968,0.1907,2,c14,0.5075999999999999,0.002683281572999742,0.5191051185191066,0.0069579092566299065,0.2096,0.009097985124923727
i2_c15.npy,0.1952,0.1928,2,c15,0.49866666666666665,0.0005962847939999402,0.4966923076923077,0.0014803112844985705,0.20426666666666662,0.009977753031397177
i2_g.npy,0.2355,0.2206,2,g,0.5068166666666666,0.0002460803843372476,0.5144478497260226,0.0010378486527437723,0.2434166666666667,0.010105842644507949
i3_c0.npy,0.1936,0.1714,3,c0,0.5238666666666667,0.0020869967789998,0.5631941537024524,0.00576258738775758,0.2136,0.019283153269110325
i3_c1.npy,0.1888,0.1719,3,c1,0.5024,0.0011313708498984561,0.5057571324734877,0.0022016133917936854,0.20453333333333332,0.017874625093193482
i3_c2.npy,0.1952,0.1933,3,c2,0.4984,0.001847520861406823,0.49622071050642486,0.003936633910808707,0.21119999999999997,0.01594657748024112
i3_c3.npy,0.176,0.1762,3,c3,0.5072,0.0029933259094191396,0.5200469606065778,0.008173348813007731,0.18933333333333333,0.009977753031397175
i3_c4.npy,0.176,0.1702,3,c4,0.4941333333333333,0.0014360439485691925,0.4848052373397134,0.0026336254608491745,0.1856,0.01403994301982739
i3_c5.npy,0.16,0.1666,3,c5,0.5088,0.0004618802153517138,0.5265026646278055,0.003495041782924186,0.1776,0.02166410241236256
i3_c6.npy,0.2336,0.2031,3,c6,0.5154666666666667,0.0014360439485692044,0.5340807656136008,0.0035592142110990616,0.24293333333333333,0.009256829310778536
i3_c7.npy,0.2272,0.2237,3,c7,0.5041333333333333,0.002186829262247591,0.5091937666956421,0.004952615514065818,0.23306666666666664,0.006104279009205115
i3_c8.npy,0.1968,0.1831,3,c8,0.5038666666666667,0.0014907119849998612,0.509485986250661,0.0029717287821313127,0.20453333333333334,0.011699952516522831
i3_c9.npy,0.1824,0.1421,3,c9,0.5166666666666666,0.0013399834161494388,0.5476332199546485,0.006724396149366433,0.19333333333333333,0.011024014191250346
i3_c10.npy,0.1968,0.1742,3,c10,0.5108,0.00183303027798234,0.5276610930538846,0.00593159858756906,0.20853333333333335,0.009977753031397177
i3_c11.npy,0.1936,0.2033,3,c11,0.49773333333333336,0.0023739325086352975,0.4947049608380561,0.005419695154427379,0.20373333333333332,0.011263313110369535
i3_c12.npy,0.192,0.1746,3,c12,0.5173333333333333,0.002429448954438472,0.5461516897275411,0.005865444668818246,0.20586666666666667,0.017445789049382543
i3_c13.npy,0.2176,0.1972,3,c13,0.5198666666666667,0.0014907119849998645,0.5469697200552576,0.005758762941362127,0.2328,0.010440945040241005
i3_c14.npy,0.1584,0.1692,3,c14,0.5018666666666667,0.0023399905033045505,0.5057613015707757,0.0068469059504731615,0.17253333333333332,0.009618500691664771
i3_c15.npy,0.1536,0.1623,3,c15,0.48186666666666667,0.0030521395046025535,0.45024766072333583,0.0049018730861038785,0.16293333333333335,0.008976017429176978
i3_g.npy,0.2553,0.2383,3,g,0.5073500000000001,0.0004672615256292181,0.5142562610516545,0.0009234817457907871,0.2653833333333333,0.010532555351016312
i4_c0.npy,0.2128,0.2133,4,c0,0.5028,0.0017126976771553476,0.5060947560765066,0.003318560353232824,0.22506666666666666,0.015530901097131775
i4_c1.npy,0.2016,0.2122,4,c1,0.5014666666666666,0.0011699952516522891,0.5035231006811739,0.0026657429269687444,0.21413333333333331,0.009256829310778559
i4_c2.npy,0.1872,0.1849,4,c2,0.4981333333333334,0.0005962847939999402,0.49537327236839457,0.001159530285990647,0.1976,0.012657540572059544
i4_c3.npy,0.2432,0.2188,4,c3,0.5177333333333333,0.002862788073811186,0.5356441348524476,0.0049053222216559325,0.26613333333333333,0.012382065883993485
