,train_acc,test_acc,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.528,0.3409,0,c0,0.5832,0.007518865162598242,0.5978605774230471,0.008153586070662572,0.508,0.01115227928870745
i0_c1.npy,0.4944,0.3277,0,c1,0.5776,0.00683520299625402,0.594929166837129,0.005934770328481446,0.4856,0.018993332163332138
i0_c2.npy,0.5168,0.3438,0,c2,0.5818666666666666,0.005555377774933239,0.5974971803601719,0.005079843354278378,0.5013333333333333,0.013118265467998769
i0_c3.npy,0.4928,0.3358,0,c3,0.5688,0.00614491659829486,0.5836761531181707,0.007121139091751093,0.47973333333333334,0.00848737624684777
i0_c4.npy,0.4608,0.3425,0,c4,0.5617333333333333,0.0012578641509408792,0.5784404691155548,0.0009495654484846511,0.4552,0.0047777260979117225
i0_c5.npy,0.4944,0.3568,0,c5,0.5730666666666666,0.0037142368739157892,0.588945946670152,0.0042257430082358405,0.4837333333333333,0.005359933664597817
i0_c6.npy,0.4912,0.3449,0,c6,0.5888,0.004308131845707583,0.6127400642683152,0.002751291837360213,0.4824,0.014772948250095511
i0_c7.npy,0.5152,0.3428,0,c7,0.5784,0.0017281975195754446,0.5914749936836079,0.002473683191263042,0.5071999999999999,0.014310835055998629
i0_c8.npy,0.4528,0.3359,0,c8,0.5479999999999999,0.003946306289852987,0.5617557649546289,0.003464175489552519,0.436,0.01547815665166021
i0_c9.npy,0.4432,0.3244,0,c9,0.5386666666666667,0.0008844332774280929,0.5506080642199912,0.000709126254508303,0.4208,0.012220201853215566
i0_c10.npy,0.5168,0.329,0,c10,0.5944000000000002,0.002529822128134694,0.613590698161759,0.0012778959464256883,0.5098666666666666,0.009848632166730336
i0_c11.npy,0.456,0.3362,0,c11,0.5512,0.007892612579706016,0.5646440802303402,0.008444480513016236,0.4456,0.020526405757787525
i0_c12.npy,0.4608,0.3429,0,c12,0.5559999999999999,0.0019043809142780701,0.5718113875290866,0.0011358729542144121,0.4458666666666667,0.012032548450857038
i0_c13.npy,0.4736,0.3276,0,c13,0.5772,0.0055952360688952835,0.6014554371009663,0.0059545679639698154,0.45733333333333337,0.012234741063418089
i0_c14.npy,0.4656,0.3328,0,c14,0.5613333333333334,0.004541169697580352,0.5784318274491725,0.0046752029612937545,0.452,0.012556007858126463
i0_c15.npy,0.4928,0.3302,0,c15,0.5794666666666667,0.0013597385369580714,0.5967563806309607,0.000813479429171486,0.4901333333333333,0.008140980011986012
i0_g.npy,0.5445,0.5181,0,g,0.5134583333333332,8.374896350933152e-05,0.5128169555228369,0.0009072228880463746,0.5408166666666666,0.033146212285703
i1_c0.npy,0.552,0.3944,1,c0,0.5761333333333334,0.004367557161109122,0.5811066391848162,0.004227847881471943,0.5453333333333333,0.007120549292169976
i1_c1.npy,0.568,0.383,1,c1,0.5894666666666666,0.002825282680055588,0.5939383566541407,0.0025011300423831047,0.5656,0.005366563145999485
i1_c2.npy,0.5536,0.3797,1,c2,0.5922666666666667,0.0014360439485692077,0.6018339959681801,0.0010622535115515917,0.5453333333333333,0.009210621887557597
i1_c3.npy,0.5072,0.3729,1,c3,0.5636,0.0008944271909999001,0.5728660248421688,0.0002832558961377221,0.5,0.005366563145999485
i1_c4.npy,0.4928,0.3758,1,c4,0.5432,0.004332820482472516,0.5493330315994925,0.004413884576930194,0.4805333333333333,0.010272725484937718
i1_c5.npy,0.5072,0.36,1,c5,0.5737333333333333,0.007978860960201145,0.5878698735358688,0.008646999349538761,0.49280000000000007,0.01299846144741752
i1_c6.npy,0.512,0.3552,1,c6,0.5826666666666668,0.0026398653164297742,0.5992713230019511,0.0020159522100953783,0.4989333333333333,0.007751702321999264
i1_c7.npy,0.52,0.3549,1,c7,0.5622666666666668,0.0017537261917287966,0.5700931260026926,0.0004496420168060864,0.5064000000000001,0.01252198067399883
i1_c8.npy,0.5504,0.3892,1,c8,0.5774666666666667,0.007453559924999306,0.5829215347501621,0.006952225237231565,0.5439999999999999,0.01431083505599865
i1_c9.npy,0.5168,0.38,1,c9,0.5678666666666667,0.005664705542999465,0.5757594838823711,0.00504166361997865,0.5151999999999999,0.014310835055998629
i1_c10.npy,0.528,0.3715,1,c10,0.5734666666666667,0.0011699952516522763,0.5833244641185215,0.0020205321739004663,0.5144000000000001,0.0025716402029314477
i1_c11.npy,0.4976,0.3624,1,c11,0.5685333333333334,0.005259488779550965,0.5843760949042355,0.005813175466147971,0.4744,0.008944271909999146
i1_c12.npy,0.5328,0.3816,1,c12,0.5810666666666666,0.0019413626371414864,0.5913917157113647,0.0006518128359580945,0.5245333333333333,0.00992415683516182
i1_c13.npy,0.5392,0.3813,1,c13,0.5896,0.006850790708621393,0.601122459715003,0.00512965563362309,0.5319999999999999,0.019677398201998136
i1_c14.npy,0.5184,0.3647,1,c14,0.5664,0.003946306289852986,0.5759807850005733,0.0040674214532482,0.5032000000000001,0.006835202996254034
