,train_acc,test_acc
i0_c0,0.885,0.8052
i0_c1,0.8726,0.8151
i0_g,0.8761,0.8353
i1_c0,0.8792,0.8126
i1_c1,0.8734,0.8061
i1_g,0.8723,0.8368
i2_c0,0.8806,0.8114
i2_c1,0.874,0.8032
i2_g,0.8759,0.8384
i3_c0,0.888,0.817
i3_c1,0.8706,0.8126
i3_g,0.8774,0.8434
i4_c0,0.8838,0.8093
i4_c1,0.8766,0.8123
i4_g,0.8783,0.8393
i5_c0,0.8872,0.8121
i5_c1,0.8804,0.8134
i5_g,0.8778,0.8388
i6_c0,0.8852,0.8181
i6_c1,0.88,0.8133
i6_g,0.88,0.8398
i7_c0,0.8914,0.8159
i7_c1,0.8692,0.804
i7_g,0.8773,0.838
i8_c0,0.8834,0.8165
i8_c1,0.8648,0.8075
i8_g,0.8722,0.8368
i9_c0,0.8834,0.811
i9_c1,0.879,0.8095
i9_g,0.8739,0.8369
