,train_acc,test_acc
i0_c0,0.7902,0.7172
i0_c1,0.7806,0.7123
i0_g,0.7745,0.7363
i1_c0,0.8394,0.7632
i1_c1,0.8306,0.7602
i1_g,0.821,0.7807
i2_c0,0.8604,0.7846
i2_c1,0.8522,0.7778
i2_g,0.8424,0.801
i3_c0,0.8686,0.7914
i3_c1,0.8602,0.79
i3_g,0.8556,0.808
i4_c0,0.8762,0.8037
i4_c1,0.87,0.7982
i4_g,0.8627,0.8192
i5_c0,0.8802,0.8116
i5_c1,0.874,0.8083
i5_g,0.8645,0.8245
i6_c0,0.8838,0.8131
i6_c1,0.8828,0.815
i6_g,0.8729,0.8305
i7_c0,0.888,0.8132
i7_c1,0.8854,0.817
i7_g,0.8751,0.8316
i8_c0,0.89,0.8184
i8_c1,0.8824,0.8176
i8_g,0.8767,0.835
i9_c0,0.892,0.8211
i9_c1,0.8882,0.8239
i9_g,0.8801,0.8354
