,train_acc,test_acc
i0_c0,0.6746,0.5973
i0_c1,0.6788,0.5942
i0_g,0.665,0.6195
i1_c0,0.7286,0.655
i1_c1,0.7402,0.6596
i1_g,0.7217,0.6775
i2_c0,0.7642,0.6941
i2_c1,0.7702,0.6949
i2_g,0.758,0.7143
i3_c0,0.7852,0.7164
i3_c1,0.788,0.7212
i3_g,0.7806,0.7381
i4_c0,0.8046,0.7344
i4_c1,0.806,0.7355
i4_g,0.7952,0.7525
i5_c0,0.8164,0.7473
i5_c1,0.8168,0.7479
i5_g,0.8052,0.7651
i6_c0,0.8276,0.7541
i6_c1,0.8256,0.7573
i6_g,0.8175,0.7761
i7_c0,0.8336,0.764
i7_c1,0.8316,0.7639
i7_g,0.8223,0.783
i8_c0,0.8388,0.7697
i8_c1,0.835,0.7693
i8_g,0.829,0.7884
i9_c0,0.8472,0.7726
i9_c1,0.8394,0.773
i9_g,0.8333,0.7951
