,train_acc,test_acc
i0_c0,0.371,0.337
i0_c1,0.3772,0.3738
i0_g,0.4262,0.4131
i1_c0,0.411,0.3748
i1_c1,0.4062,0.3894
i1_g,0.4594,0.4369
i2_c0,0.4554,0.4262
i2_c1,0.4476,0.4108
i2_g,0.495,0.4698
i3_c0,0.4314,0.4112
i3_c1,0.4478,0.4267
i3_g,0.5035,0.4789
i4_c0,0.4618,0.4388
i4_c1,0.4708,0.4442
i4_g,0.5147,0.4994
i5_c0,0.4738,0.4519
i5_c1,0.484,0.4572
i5_g,0.5319,0.5133
i6_c0,0.4834,0.461
i6_c1,0.4792,0.4682
i6_g,0.5252,0.512
i7_c0,0.4762,0.4645
i7_c1,0.5216,0.5004
i7_g,0.5446,0.5308
i8_c0,0.5284,0.5099
i8_c1,0.5112,0.4921
i8_g,0.567,0.5474
i9_c0,0.5202,0.4948
i9_c1,0.53,0.5067
i9_g,0.5664,0.5489
