,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9102,0.8242,0.905,0.8212
i0_c1,0.9054,0.827,0.903,0.8256
i0_g,0.8906,0.8469,,
i1_c0,0.9208,0.832,0.9182,0.8316
i1_c1,0.9104,0.8311,0.9054,0.8296
i1_g,0.8948,0.8502,,
i2_c0,0.9188,0.8294,0.9206,0.8301
i2_c1,0.9102,0.8351,0.9118,0.8355
i2_g,0.8952,0.8509,,
i3_c0,0.9168,0.8346,0.914,0.8313
i3_c1,0.9102,0.8366,0.9102,0.8367
i3_g,0.8917,0.8506,,
i4_c0,0.921,0.836,0.9198,0.8363
i4_c1,0.915,0.8364,0.9142,0.8363
i4_g,0.8983,0.8558,,
i5_c0,0.9206,0.8355,0.9204,0.838
i5_c1,0.9154,0.8375,0.9156,0.8388
i5_g,0.8983,0.856,,
i6_c0,0.9224,0.8359,0.9226,0.835
i6_c1,0.9128,0.8366,0.915,0.8361
i6_g,0.8965,0.8541,,
i7_c0,0.9284,0.8369,0.9252,0.8355
i7_c1,0.9192,0.8375,0.9182,0.8367
i7_g,0.9012,0.8524,,
i8_c0,0.9246,0.8355,0.9252,0.8349
i8_c1,0.9124,0.8407,0.9114,0.8408
i8_g,0.8998,0.858,,
i9_c0,0.9162,0.8333,0.9148,0.8324
i9_c1,0.915,0.8365,0.911,0.8367
i9_g,0.8959,0.8543,,
