,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8762,0.807,0.1422,0.1528
i0_c1,0.8676,0.8045,0.148,0.1497
i0_g,0.1404,0.1504,,
i1_c0,0.1398,0.152,0.1408,0.1435
i1_c1,0.1446,0.1519,0.1486,0.1516
i1_g,0.132,0.1419,,
i2_c0,0.1332,0.143,0.1424,0.1443
i2_c1,0.1334,0.1432,0.1292,0.14
i2_g,0.1325,0.136,,
i3_c0,0.1316,0.1379,0.1498,0.1576
i3_c1,0.135,0.1377,0.1256,0.1305
i3_g,0.145,0.1495,,
i4_c0,0.1484,0.1502,0.126,0.1311
i4_c1,0.1434,0.1501,0.1286,0.1286
i4_g,0.1271,0.1284,,
i5_c0,0.1282,0.1295,0.1352,0.1391
i5_c1,0.1292,0.1297,0.1294,0.1284
i5_g,0.1307,0.1344,,
i6_c0,0.1346,0.135,0.1408,0.1476
i6_c1,0.1282,0.1349,0.1658,0.168
i6_g,0.1536,0.1566,,
i7_c0,0.1512,0.1573,0.1396,0.1516
i7_c1,0.1572,0.1574,0.1618,0.1606
i7_g,0.1516,0.1576,,
i8_c0,0.1506,0.158,0.1638,0.1728
i8_c1,0.154,0.1584,0.1486,0.1445
i8_g,0.159,0.1591,,
i9_c0,0.1578,0.16,0.1506,0.1448
i9_c1,0.1622,0.1599,0.1446,0.1482
i9_g,0.1484,0.1496,,
