file_name,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.8788,0.8052,0.1376,0.1403,0,c0,0.5020000000000001,0.000305505046330392,0.5066951749063235,0.0014124530375441671,0.15380000000000002,0.011294246322796407
i0_c1.npy,0.8656,0.8056,0.1494,0.1364,0,c1,0.5068833333333332,0.001166785708212485,0.522743193309048,0.0044575683857243625,0.15993333333333334,0.01049296060329125
i0_g.npy,0.1565,0.1473,,,0,g,0.5053666666666666,0.0003210226714042962,0.5163476538513211,0.0015531910522929343,0.17035,0.010033236433640612
i1_c0.npy,0.1636,0.1549,0.1654,0.1637,1,c0,0.5034666666666666,0.00026246692913374514,0.5098971572489187,0.00024622294738154256,0.17846666666666666,0.01040299102288483
i1_c1.npy,0.1662,0.1559,0.1606,0.1573,1,c1,0.5054166666666666,0.0010589565094416766,0.516311866253046,0.0035836104091264594,0.1727,0.007575178765767397
i1_g.npy,0.1707,0.1663,,,1,g,0.5029833333333333,0.00023213980461970975,0.5082833968164077,0.0006885558270086138,0.1834,0.00876432161284222
i2_c0.npy,0.1686,0.1694,0.1378,0.1402,2,c0,0.49945,0.0006677075208003486,0.49798837470169627,0.0022458936541827367,0.14880000000000002,0.012206555615733711
i2_c1.npy,0.1816,0.169,0.1778,0.1735,2,c1,0.5044333333333333,0.0007340905181848437,0.5116921838815827,0.0014438215588791048,0.19346666666666665,0.013720382242812655
i2_g.npy,0.1677,0.1672,,,2,g,0.5008250000000001,0.00041003048667140796,0.5022355926651587,0.0009562341855818244,0.1806833333333333,0.0122898897020636
i3_c0.npy,0.1682,0.1742,0.152,0.1465,3,c0,0.5064833333333334,0.0007080881928749382,0.5204889021702188,0.003498612199253068,0.16723333333333334,0.018317356674901416
i3_c1.npy,0.1802,0.1753,0.1662,0.1607,3,c1,0.5068833333333334,0.0008801830617673752,0.5202013870090557,0.0037319219544222865,0.1797,0.012471701300678003
i3_g.npy,0.1628,0.1612,,,3,g,0.501575,0.00043945989578120736,0.5044174145685529,0.0007548581894335903,0.17735,0.01700036764308349
i4_c0.npy,0.1698,0.1664,0.1454,0.1451,4,c0,0.5042833333333333,0.000876387788342328,0.5135223490403351,0.0015738941742414582,0.16223333333333334,0.02084495675750426
i4_c1.npy,0.1694,0.1674,0.171,0.1641,4,c1,0.5051166666666668,0.0013043729868748993,0.5145971000077635,0.004076472742534838,0.1827,0.014892391793574778
i4_g.npy,0.1552,0.1531,,,4,g,0.5014249999999999,0.0005928392137277457,0.5042107535349308,0.0015063672585573097,0.17023333333333332,0.019075172927714764
i5_c0.npy,0.1574,0.1573,0.1736,0.1768,5,c0,0.5015,0.0005944184833375762,0.5040676034353638,0.0013941744544134717,0.18489999999999998,0.012875687683899977
i5_c1.npy,0.1602,0.1577,0.1494,0.1432,5,c1,0.5017166666666667,0.0010589565094416581,0.5055951083610378,0.0034770959637237964,0.1617333333333333,0.010376683263719455
i5_g.npy,0.1604,0.1599,,,5,g,0.5003166666666666,0.0006328945848682396,0.5009540916864271,0.0017239409503404626,0.17269999999999996,0.012887720253533338
i6_c0.npy,0.1626,0.1634,0.1722,0.1648,6,c0,0.5051833333333332,0.0002608745973749763,0.5144185260039241,0.0012571252418605143,0.18590000000000004,0.012885004203853922
i6_c1.npy,0.169,0.1633,0.1702,0.1598,6,c1,0.5075833333333333,0.0007581043610362779,0.5219804121278457,0.003413111315375447,0.18183333333333332,0.011076953050766666
i6_g.npy,0.1715,0.1626,,,6,g,0.5045583333333333,0.0003420729291962445,0.512853685253645,0.0016824361820954898,0.18333333333333332,0.01083969044248446
i7_c0.npy,0.173,0.1655,0.171,0.1714,7,c0,0.50445,0.0013949313005784266,0.5121556475669226,0.0029977588802183874,0.18486666666666665,0.012547863917372113
i7_c1.npy,0.1782,0.1664,0.1568,0.1578,7,c1,0.5030333333333333,0.00032998316455372693,0.509213417453844,0.0014775508708000148,0.16949999999999998,0.012977801560099976
i7_g.npy,0.1648,0.1649,,,7,g,0.5005666666666667,0.00027788886667557154,0.501558303456986,0.0006484246218011807,0.17750000000000002,0.0122494897852931
i8_c0.npy,0.1658,0.1682,0.1596,0.1557,8,c0,0.5058333333333334,0.0013387390418682266,0.5178552282374743,0.0030928572806406735,0.16786666666666664,0.010318053218617465
i8_c1.npy,0.1708,0.1681,0.1702,0.1666,8,c1,0.5054333333333333,0.0015347819244295212,0.5155082355930646,0.004525283020311324,0.18280000000000005,0.011372481406154652
i8_g.npy,0.1646,0.1633,,,8,g,0.5011416666666667,0.0006772595924426338,0.5032123198968194,0.0017240760155158067,0.17486666666666664,0.010567192415942638
i9_c0.npy,0.1672,0.1676,0.1614,0.1573,9,c0,0.5008166666666667,0.0007357913351548267,0.5022623334386686,0.0019123945759407996,0.1723,0.011646887996370536
i9_c1.npy,0.1704,0.1684,0.1742,0.1735,9,c1,0.5028166666666666,0.0006282692274990181,0.5077513318141696,0.0015209054175623778,0.1843,0.009864245198358226
i9_g.npy,0.167,0.1625,,,9,g,0.5025999999999999,0.0006429100507328734,0.5073949779164189,0.0014995876630225986,0.17758333333333332,0.010411598767186952
