,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.9967948717948718,0.4386,0.1346153846153846,0.138,0,c0,0.5098824786324786,0.002684261650940399,0.5351040618968953,0.005996383231697701,0.1485042735042735,0.01609670851850359
i0_c1.npy,0.9935897435897436,0.4524,0.157051282051282,0.1658,0,c1,0.5066773504273504,0.000597240378605711,0.5209033369170676,0.0019257084148895415,0.1672008547008547,0.015080763048603745
i0_c2.npy,0.9967948717948718,0.444,0.1698717948717948,0.1774,0,c2,0.5013354700854701,0.0035130733007387445,0.504245772973102,0.009430971535204868,0.17948717948717952,0.009252408160090157
i0_c3.npy,0.9967948717948718,0.4479,0.1987179487179487,0.1706,0,c3,0.5189636752136754,0.005734751750423067,0.5508733351211227,0.016000885404290326,0.20833333333333334,0.009252408160090157
i0_c4.npy,1.0,0.4154,0.1794871794871795,0.1638,0,c4,0.5202991452991453,0.001194480757211422,0.5604218079465605,0.005828258679921087,0.1891025641025641,0.009791828408025307
i0_c5.npy,0.9807692307692308,0.4573,0.141025641025641,0.1226,0,c5,0.5077457264957265,0.004180682650239977,0.527656078860898,0.013576556024683746,0.15224358974358976,0.015891532885302907
i0_c6.npy,0.9775641025641024,0.4643,0.1282051282051282,0.1336,0,c6,0.4994658119658119,0.0056026113684302945,0.4996880086814976,0.019042358021244068,0.1362179487179487,0.006861769539885214
i0_c7.npy,0.9935897435897436,0.4448,0.1346153846153846,0.1279,0,c7,0.5037393162393163,0.001998748604045902,0.513071446091849,0.0055936764738956,0.14369658119658119,0.014383453010508826
i0_c8.npy,1.0,0.4363,0.1987179487179487,0.1526,0,c8,0.5216346153846153,0.007031221464256523,0.5572228933645064,0.020372792430470858,0.21420940170940173,0.013139288329325682
i0_c9.npy,0.9967948717948718,0.4505,0.1185897435897435,0.1615,0,c9,0.48183760683760685,0.0007554559628061378,0.43798810122339543,0.0038594780511058634,0.12927350427350429,0.015222015864075868
i0_c10.npy,0.9903846153846154,0.441,0.0993589743589743,0.1178,0,c10,0.4877136752136752,0.002388961514422844,0.4505547592504115,0.008031355760074962,0.11378205128205127,0.022031613918056924
i0_c11.npy,0.9935897435897436,0.4525,0.1923076923076923,0.1957,0,c11,0.48851495726495725,0.0032602979742878506,0.47274331656487617,0.007802517355282192,0.20138888888888887,0.016386604327113207
i0_c12.npy,0.9935897435897436,0.4305,0.125,0.1264,0,c12,0.5040064102564102,0.0017917211358171327,0.5159281894576012,0.007154694562095455,0.13514957264957264,0.010855983671421784
i0_c13.npy,0.9935897435897436,0.4228,0.1378205128205128,0.144,0,c13,0.49492521367521364,0.002343740488085512,0.48355627687310854,0.00658990921172957,0.14797008547008547,0.009864415231100104
i0_c14.npy,0.9967948717948718,0.4595,0.1442307692307692,0.1679,0,c14,0.49332264957264954,0.004932207615550053,0.479924458755104,0.012328432370496774,0.15384615384615385,0.013723539079770447
i0_c15.npy,0.9935897435897436,0.4453,0.1314102564102564,0.1305,0,c15,0.4962606837606838,0.0031602990294335616,0.4883513846782174,0.008664024076418959,0.14423076923076922,0.019583656816050593
i0_c16.npy,0.9871794871794872,0.4424,0.1538461538461538,0.1409,0,c16,0.4994658119658119,0.0015109119256122756,0.4981269275386923,0.004496477506931018,0.16506410256410256,0.01305212790904981
i0_c17.npy,0.9903846153846154,0.4436,0.1794871794871795,0.1241,0,c17,0.5253739316239316,0.0014383453010508773,0.5779713034639143,0.007886712436693113,0.1891025641025641,0.009791828408025307
i0_c18.npy,0.9935897435897436,0.4446,0.1282051282051282,0.1354,0,c18,0.47088675213675213,0.0023437404880854943,0.41349312967278734,0.011261907253167707,0.140491452991453,0.012876037172215759
i0_c19.npy,1.0,0.4285,0.141025641025641,0.1312,0,c19,0.49652777777777785,0.002343740488085512,0.489031339031339,0.0061715609750525495,0.15224358974358976,0.016105569905642454
i0_c20.npy,0.9967948717948718,0.4372,0.141025641025641,0.1378,0,c20,0.5040064102564102,0.0012239785510031582,0.5132298154924815,0.004751138037577227,0.16025641025641027,0.01409284824601808
i0_c21.npy,0.9871794871794872,0.4224,0.1442307692307692,0.1235,0,c21,0.5165598290598291,0.005288191739643006,0.5629684950073299,0.023010702962487983,0.15384615384615385,0.013723539079770447
i0_c22.npy,0.9871794871794872,0.4415,0.173076923076923,0.1507,0,c22,0.5077457264957265,0.0029862018930285547,0.5215434431339618,0.009278990559337789,0.19391025641025642,0.018848588423480077
i0_c23.npy,0.9903846153846154,0.4619,0.1282051282051282,0.151,0,c23,0.5061431623931624,0.000597240378605711,0.5228545348933697,0.004241742411173227,0.1436965811965812,0.017400104139852914
i0_c24.npy,0.9903846153846154,0.4449,0.1602564102564102,0.1675,0,c24,0.48504273504273504,0.001998748604045902,0.45942457337806175,0.0036767373092199906,0.1688034188034188,0.009374961952342008
i0_c25.npy,0.9903846153846154,0.4311,0.1955128205128205,0.1361,0,c25,0.5235042735042735,0.0031602990294335442,0.5645439596813805,0.012007078920987867,0.2077991452991453,0.008761335185286712
i0_c26.npy,0.9903846153846154,0.421,0.157051282051282,0.1415,0,c26,0.4906517094017094,0.003260297974287854,0.4746238425925926,0.008112437281261655,0.1762820512820513,0.018130943107347374
i0_c27.npy,0.9935897435897436,0.4454,0.1602564102564102,0.1375,0,c27,0.49973290598290604,0.0037488431751116855,0.4986496421840088,0.009344638432841746,0.17735042735042736,0.020411296126648285
i0_c28.npy,0.9839743589743588,0.4341,0.1346153846153846,0.1265,0,c28,0.49545940170940167,0.0032602979742878506,0.4846938157629716,0.009850751051177128,0.1485042735042735,0.01682480314959788
i0_c29.npy,0.9935897435897436,0.4515,0.1826923076923076,0.157,0,c29,0.5197649572649573,0.0019987486040459017,0.556390624233118,0.004708273673312228,0.19497863247863248,0.008761335185286715
i0_c30.npy,0.9871794871794872,0.4771,0.1282051282051282,0.1317,0,c30,0.5016025641025642,0.002925868362741262,0.5065642817936395,0.010736788304857171,0.13835470085470084,0.01759580031196647
i0_c31.npy,0.9967948717948718,0.4314,0.1378205128205128,0.1502,0,c31,0.4807692307692308,0.0043397641050405816,0.44465292155509545,0.005946669662496794,0.15331196581196582,0.019267829911187435
i0_g.npy,0.1465,0.1411,,,0,g,0.5033583333333332,0.0008197645325878055,0.5106324463430655,0.002271912533761144,0.16143333333333335,0.012508352764808349
i1_c0.npy,0.2115384615384615,0.1754,0.1698717948717948,0.1575,1,c0,0.516559829059829,0.002876690602101779,0.5469739184273663,0.005895531380633401,0.19391025641025642,0.029477306968635444
i1_c1.npy,0.2179487179487179,0.1848,0.1891025641025641,0.1933,1,c1,0.5069444444444444,0.004687480976171024,0.5168549905838041,0.009623425873433823,0.20619658119658116,0.022486714935736302
i1_c2.npy,0.2435897435897435,0.1717,0.1538461538461538,0.1386,1,c2,0.5090811965811965,0.003160299029433585,0.529015058202115,0.009574052805893211,0.16613247863247863,0.013139288329325687
