,train_acc,test_acc
i0_c0,0.9304,0.7903
i0_c1,0.9148,0.7805
i0_c2,0.9172,0.7855
i0_c3,0.9088,0.7891
i0_g,0.8722,0.8369
i1_c0,0.934,0.8017
i1_c1,0.9384,0.7997
i1_c2,0.9284,0.7955
i1_c3,0.9316,0.7992
i1_g,0.8831,0.8524
i2_c0,0.9496,0.8012
i2_c1,0.9388,0.799
i2_c2,0.928,0.8029
i2_c3,0.9424,0.8027
i2_g,0.889,0.8526
i3_c0,0.9532,0.8013
i3_c1,0.9424,0.8052
i3_c2,0.9368,0.8113
i3_c3,0.9412,0.8076
i3_g,0.8903,0.8541
i4_c0,0.9516,0.8081
i4_c1,0.9456,0.8066
i4_c2,0.942,0.8118
i4_c3,0.9396,0.8077
i4_g,0.8922,0.8533
i5_c0,0.9548,0.8078
i5_c1,0.946,0.8046
i5_c2,0.944,0.8141
i5_c3,0.95,0.811
i5_g,0.8896,0.8558
i6_c0,0.9584,0.8041
i6_c1,0.9524,0.8064
i6_c2,0.9432,0.8151
i6_c3,0.9476,0.8114
i6_g,0.894,0.8583
i7_c0,0.9592,0.8084
i7_c1,0.9508,0.8108
i7_c2,0.952,0.8116
i7_c3,0.9452,0.8135
i7_g,0.8959,0.8553
i8_c0,0.9584,0.811
i8_c1,0.9532,0.8094
i8_c2,0.9496,0.8153
i8_c3,0.95,0.8117
i8_g,0.8934,0.8557
i9_c0,0.9588,0.8069
i9_c1,0.9552,0.8122
i9_c2,0.9472,0.8146
i9_c3,0.9468,0.8115
i9_g,0.8946,0.8579
