,train_acc,test_acc
i0_c0,0.6636,0.5401
i0_c1,0.6568,0.5267
i0_c2,0.6652,0.5291
i0_c3,0.6496,0.5464
i0_g,0.6205,0.5775
i1_c0,0.7164,0.5925
i1_c1,0.7036,0.5822
i1_c2,0.716,0.5769
i1_c3,0.706,0.6021
i1_g,0.6757,0.6318
i2_c0,0.7472,0.6203
i2_c1,0.728,0.6145
i2_c2,0.7448,0.6113
i2_c3,0.7304,0.6304
i2_g,0.7067,0.6608
i3_c0,0.7736,0.6436
i3_c1,0.748,0.639
i3_c2,0.7624,0.6372
i3_c3,0.7596,0.6562
i3_g,0.731,0.6891
i4_c0,0.792,0.6687
i4_c1,0.7744,0.6591
i4_c2,0.778,0.6595
i4_c3,0.7716,0.6789
i4_g,0.7514,0.7081
i5_c0,0.8028,0.6809
i5_c1,0.782,0.6744
i5_c2,0.7904,0.6772
i5_c3,0.782,0.6951
i5_g,0.7635,0.7223
i6_c0,0.8172,0.6986
i6_c1,0.7992,0.6892
i6_c2,0.804,0.6929
i6_c3,0.7956,0.7063
i6_g,0.7773,0.7364
i7_c0,0.8228,0.7087
i7_c1,0.8108,0.7028
i7_c2,0.8184,0.7042
i7_c3,0.8072,0.7162
i7_g,0.7866,0.7457
i8_c0,0.8344,0.7205
i8_c1,0.8116,0.7127
i8_c2,0.8272,0.7165
i8_c3,0.8112,0.7293
i8_g,0.7954,0.7565
i9_c0,0.8444,0.7307
i9_c1,0.8244,0.7192
i9_c2,0.8308,0.7264
i9_c3,0.824,0.7393
i9_g,0.8037,0.7649
