,train_acc,test_acc
i0_c0,0.706,0.5744
i0_c1,0.69,0.5632
i0_c2,0.7104,0.5665
i0_c3,0.7004,0.5909
i0_g,0.6646,0.6198
i1_c0,0.7664,0.6299
i1_c1,0.7544,0.6264
i1_c2,0.7592,0.6288
i1_c3,0.7452,0.6439
i1_g,0.717,0.6766
i2_c0,0.796,0.6639
i2_c1,0.7848,0.6622
i2_c2,0.7904,0.6642
i2_c3,0.7788,0.6818
i2_g,0.751,0.7059
i3_c0,0.8176,0.6892
i3_c1,0.81,0.6885
i3_c2,0.8064,0.6842
i3_c3,0.7992,0.7021
i3_g,0.7713,0.7332
i4_c0,0.8376,0.7131
i4_c1,0.8236,0.7028
i4_c2,0.8252,0.7032
i4_c3,0.8144,0.7163
i4_g,0.7895,0.7517
i5_c0,0.8452,0.7179
i5_c1,0.8324,0.7155
i5_c2,0.842,0.7221
i5_c3,0.8248,0.7311
i5_g,0.8003,0.7611
i6_c0,0.8544,0.7354
i6_c1,0.8416,0.7258
i6_c2,0.8456,0.7283
i6_c3,0.8324,0.7438
i6_g,0.8118,0.7708
i7_c0,0.8664,0.7424
i7_c1,0.85,0.7346
i7_c2,0.856,0.7386
i7_c3,0.8392,0.7466
i7_g,0.8241,0.7789
i8_c0,0.866,0.7548
i8_c1,0.858,0.7437
i8_c2,0.8572,0.7503
i8_c3,0.8468,0.756
i8_g,0.8297,0.7867
i9_c0,0.8768,0.7624
i9_c1,0.858,0.7503
i9_c2,0.8644,0.7545
i9_c3,0.8548,0.7593
i9_g,0.8358,0.7945
