file_name,train_acc,test_acc,train_acc_outDP,test_acc_out_DP,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.9368,0.7093,0.1544,0.1412,0,c0,0.5033333333333334,0.00018856180831644423,0.5100748731253272,0.00038169364550158513,0.16933333333333334,0.015897449131508132
i0_c1.npy,0.9248,0.6956,0.1464,0.147,0,c1,0.5031333333333333,0.0011869662543176945,0.5097141453546615,0.00305581117676935,0.162,0.01589129740874965
i0_c2.npy,0.9344,0.6996,0.1072,0.1004,0,c2,0.49900000000000005,0.0008563488385776804,0.4959150326797386,0.00288850809308231,0.11573333333333331,0.012059113658234685
i0_c3.npy,0.9312,0.6839,0.152,0.1463,0,c3,0.4968666666666666,0.0008137703743822529,0.49063568252796114,0.002391093386681826,0.1656,0.012581467852891149
i0_c4.npy,0.92,0.7041,0.1872,0.1652,0,c4,0.5131333333333332,0.0007453559924998858,0.5355818780784757,0.003618858727700764,0.19866666666666663,0.009826947078767077
i0_c5.npy,0.9216,0.6939,0.1608,0.176,0,c5,0.4869333333333334,0.00037712361663283614,0.46464820662102624,0.0005515860797116306,0.17186666666666664,0.007816791043786587
i0_c6.npy,0.9296,0.698,0.1216,0.1343,0,c6,0.49200000000000005,0.0016970562748477105,0.4708201220192192,0.007872313656637145,0.132,0.012657540572059535
i0_c7.npy,0.924,0.7285,0.1296,0.1281,0,c7,0.5034,0.0013012814197295357,0.5127062957476697,0.004592259855825613,0.13879999999999998,0.012147976511885983
i0_g.npy,0.1382,0.141,,,0,g,0.49928333333333336,0.0004431578600102786,0.49765041541136235,0.0012606397914076194,0.1509333333333333,0.013484147070624163
i1_c0.npy,0.188,0.1752,0.1664,0.1725,1,c0,0.4947333333333333,0.0025342103744997514,0.48535792486647306,0.006991361678854533,0.1798666666666667,0.014194208521631481
i1_c1.npy,0.1824,0.1767,0.204,0.1832,1,c1,0.5052,0.0010832051206181316,0.5124108144732684,0.0027369046911693866,0.21599999999999997,0.012402150351182384
i1_c2.npy,0.1888,0.175,0.1504,0.1718,1,c2,0.48579999999999995,0.0006429100507328734,0.4592628408926534,0.0036051902504502962,0.16093333333333332,0.010434983894999016
i1_c3.npy,0.1904,0.1751,0.16,0.1724,1,c3,0.4855333333333334,0.002195955878933415,0.4609526865006012,0.007126580321775388,0.17226666666666668,0.010917061061577985
i1_c4.npy,0.1912,0.18,0.172,0.1615,1,c4,0.5013333333333333,0.0009428090415820641,0.5038669760247486,0.0027343649697855695,0.1788,0.006560487786742693
i1_c5.npy,0.1992,0.1787,0.1464,0.1383,1,c5,0.4967333333333334,0.0030147784145586744,0.49005765952408203,0.007969462721824198,0.15226666666666666,0.008524995927011083
i1_c6.npy,0.1856,0.1759,0.1488,0.1586,1,c6,0.4946,0.0014560219778561034,0.48344247157921094,0.005070864684190022,0.16026666666666667,0.011043348928452617
i1_c7.npy,0.176,0.1777,0.128,0.1305,1,c7,0.49766666666666665,0.0021959558789334294,0.49156461460730827,0.007096846981371765,0.13706666666666667,0.011835915211291813
i1_g.npy,0.1732,0.1722,,,1,g,0.500925,0.0004598459887107148,0.5024732575233125,0.0010777771233691363,0.18348333333333333,0.011144567685149964
i2_c0.npy,0.1968,0.1875,0.1288,0.138,2,c0,0.4956666666666667,0.0014681810363696833,0.4853342006670321,0.003361244316847531,0.14093333333333333,0.01392104721475922
i2_c1.npy,0.2112,0.1917,0.1624,0.1656,2,c1,0.4978666666666667,0.0015260697523012564,0.49362560846838993,0.004559270035029269,0.17253333333333334,0.012147244772192398
i2_c2.npy,0.1568,0.1906,0.1856,0.186,2,c2,0.49486666666666673,0.000745355992499928,0.4872740443764303,0.00230581216042485,0.1982666666666667,0.010311590027192157
i2_c3.npy,0.1856,0.188,0.112,0.122,2,c3,0.49466666666666664,0.0016599866130651622,0.4788551541806518,0.006516638399641845,0.1230666666666667,0.013626771036782294
i2_c4.npy,0.2176,0.1909,0.1384,0.1309,2,c4,0.5064000000000001,0.0016165807537309343,0.5222099082224233,0.005351453553447533,0.152,0.014736802004957968
i2_c5.npy,0.2096,0.1901,0.2128,0.2089,2,c5,0.4998,0.0006429100507328533,0.49955873215635527,0.001401062572882194,0.22280000000000003,0.006721111019268558
i2_c6.npy,0.2048,0.1915,0.1528,0.1575,2,c6,0.5013333333333333,0.00037712361663283614,0.5041833454633673,0.0013377477552797036,0.1636,0.009773433378296495
i2_c7.npy,0.2032,0.1906,0.1664,0.1726,2,c7,0.48913333333333336,0.0008137703743822558,0.4716533494044643,0.003586765141291863,0.1829333333333333,0.01929789856147267
i2_g.npy,0.1719,0.1765,,,2,g,0.49879999999999997,0.00042817441928884233,0.4966628967865567,0.0012763216365655136,0.18174999999999997,0.00868173369782787
i3_c0.npy,0.1904,0.195,0.188,0.1939,3,c0,0.5028,0.000730296743340222,0.507247942955526,0.00210144744973709,0.19893333333333332,0.010946333734279355
i3_c1.npy,0.1776,0.1934,0.1696,0.1524,3,c1,0.49946666666666667,0.00044221663871404644,0.4984294901303814,0.001237549709489487,0.17800000000000002,0.011609191760554796
i3_c2.npy,0.176,0.1897,0.12,0.1496,3,c2,0.48639999999999994,0.00375943258129912,0.4537544378084843,0.014476777398769848,0.13799999999999998,0.019120669444347392
i3_c3.npy,0.18,0.1912,0.208,0.1754,3,c3,0.5159333333333334,0.0004853406592853983,0.5395027136401277,0.0006734242172830337,0.21773333333333336,0.00926546754831557
i3_c4.npy,0.2128,0.1924,0.1792,0.1797,3,c4,0.5056,0.0004618802153516818,0.5153139293139293,0.0011183651395943685,0.18853333333333333,0.008612136139709408
i3_c5.npy,0.2,0.1939,0.1656,0.1589,3,c5,0.49779999999999996,0.0010263202878893864,0.4937341544924139,0.00300976960375377,0.17706666666666662,0.010599790354320956
i3_c6.npy,0.196,0.1946,0.1744,0.1769,3,c6,0.4942666666666667,0.002954469307488048,0.48497164789773994,0.007530433497321177,0.19079999999999997,0.016677329922182793
i3_c7.npy,0.2128,0.1938,0.1472,0.1647,3,c7,0.49453333333333344,0.0018856180831641179,0.48338818163741526,0.0051139792646839,0.15880000000000002,0.009685728332620804
i3_g.npy,0.1832,0.1827,,,3,g,0.5009666666666668,0.0007080881928749382,0.5024534112257001,0.0016481402963165344,0.19351666666666667,0.009356711791839886
i4_c0.npy,0.1944,0.196,0.164,0.1748,4,c0,0.4885999999999999,0.00044721359549997075,0.4694089725678108,0.0005412962755017665,0.17506666666666668,0.009379883913046169
i4_c1.npy,0.2136,0.1947,0.1832,0.1699,4,c1,0.49806666666666666,0.0008137703743822383,0.49503247329790656,0.0019922405588053815,0.19506666666666664,0.013828794436087177
i4_c2.npy,0.1976,0.1942,0.1888,0.1872,4,c2,0.49993333333333334,0.0020188005239635707,0.4996838551613989,0.004508152856996787,0.2044,0.014427751037497143
i4_c3.npy,0.2072,0.1938,0.1792,0.1695,4,c3,0.5076666666666667,0.0014681810363696831,0.5209748576888454,0.0030336986422334765,0.18946666666666667,0.011127543404643371
i4_c4.npy,0.204,0.1942,0.188,0.162,4,c4,0.5178,0.0022360679774997916,0.5487464254415869,0.00553196269462342,0.2008,0.015058995097061864
