,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9584,0.7045,0.132,0.1533
i0_c1,0.9432,0.7011,0.1376,0.1501
i0_c2,0.9408,0.7025,0.1368,0.1431
i0_c3,0.9512,0.6985,0.152,0.1501
i0_c4,0.9368,0.707,0.1288,0.1313
i0_c5,0.9272,0.7087,0.1352,0.1398
i0_c6,0.9368,0.7014,0.148,0.1574
i0_c7,0.9368,0.739,0.1312,0.1143
i0_g,0.1424,0.1478,,
i1_c0,0.3064,0.2665,0.16,0.1434
i1_c1,0.304,0.2691,0.1632,0.1444
i1_c2,0.2944,0.2648,0.2,0.1885
i1_c3,0.2952,0.2665,0.1576,0.1572
i1_c4,0.3192,0.2704,0.1496,0.1658
i1_c5,0.3008,0.2756,0.22,0.2072
i1_c6,0.3,0.2592,0.128,0.1453
i1_c7,0.3072,0.2678,0.1616,0.1506
i1_g,0.1997,0.2067,,
i2_c0,0.3312,0.2856,0.1912,0.1883
i2_c1,0.3192,0.2898,0.196,0.1752
i2_c2,0.3032,0.2862,0.1712,0.1537
i2_c3,0.296,0.2838,0.1288,0.1238
i2_c4,0.3104,0.2857,0.1912,0.1739
i2_c5,0.3272,0.2902,0.1904,0.1703
i2_c6,0.288,0.2897,0.1704,0.1799
i2_c7,0.328,0.2886,0.1536,0.1659
i2_g,0.2075,0.2048,,
i3_c0,0.3376,0.2895,0.1392,0.1431
i3_c1,0.3128,0.2821,0.2072,0.2003
i3_c2,0.3112,0.2818,0.1544,0.1492
i3_c3,0.3,0.2833,0.1984,0.1789
i3_c4,0.3408,0.2853,0.1904,0.1669
i3_c5,0.3256,0.2835,0.188,0.1886
i3_c6,0.3184,0.2821,0.1888,0.1908
i3_c7,0.332,0.2806,0.1456,0.145
i3_g,0.2217,0.2146,,
i4_c0,0.3416,0.2909,0.1936,0.1752
i4_c1,0.3088,0.2895,0.1728,0.1671
i4_c2,0.3344,0.2955,0.212,0.1957
i4_c3,0.3136,0.2889,0.1608,0.1583
i4_c4,0.34,0.2944,0.1632,0.1716
i4_c5,0.32,0.2901,0.18,0.1798
i4_c6,0.3272,0.2909,0.168,0.1789
i4_c7,0.316,0.2887,0.1928,0.193
i4_g,0.2238,0.2173,,
i5_c0,0.3416,0.2998,0.1576,0.1459
i5_c1,0.3328,0.2919,0.148,0.1499
i5_c2,0.332,0.2968,0.1656,0.1796
i5_c3,0.3072,0.2982,0.2136,0.1872
i5_c4,0.3296,0.2989,0.184,0.1712
i5_c5,0.3296,0.3009,0.232,0.2088
i5_c6,0.3312,0.295,0.2016,0.2147
i5_c7,0.3264,0.3002,0.1928,0.1903
i5_g,0.2452,0.2315,,
i6_c0,0.3448,0.2966,0.2032,0.193
i6_c1,0.3456,0.2965,0.1768,0.1943
i6_c2,0.3336,0.2919,0.204,0.1967
i6_c3,0.356,0.2926,0.1736,0.1559
i6_c4,0.3336,0.2974,0.1784,0.181
i6_c5,0.3512,0.2974,0.2032,0.1966
i6_c6,0.3448,0.2941,0.1936,0.1919
i6_c7,0.3328,0.2989,0.152,0.165
i6_g,0.241,0.2323,,
i7_c0,0.3248,0.2986,0.1792,0.1809
i7_c1,0.3344,0.293,0.216,0.1929
i7_c2,0.328,0.2884,0.1752,0.169
i7_c3,0.332,0.2928,0.2104,0.2084
i7_c4,0.3048,0.2982,0.1568,0.1623
i7_c5,0.3488,0.2897,0.212,0.1949
i7_c6,0.3624,0.294,0.1464,0.166
i7_c7,0.3136,0.2922,0.1848,0.1843
i7_g,0.2354,0.2368,,
i8_c0,0.3312,0.2849,0.1904,0.1663
i8_c1,0.3376,0.2867,0.204,0.189
i8_c2,0.32,0.2962,0.1864,0.2029
i8_c3,0.3152,0.2871,0.2104,0.1895
i8_c4,0.308,0.2931,0.1912,0.1877
i8_c5,0.3408,0.2931,0.1824,0.174
i8_c6,0.3224,0.2927,0.184,0.1897
i8_c7,0.3128,0.2897,0.1632,0.1772
i8_g,0.2464,0.252,,
i9_c0,0.3344,0.2955,0.1664,0.1727
i9_c1,0.3152,0.2995,0.1784,0.1765
i9_c2,0.3256,0.3018,0.2264,0.2124
i9_c3,0.3264,0.3,0.2008,0.2073
i9_c4,0.316,0.3012,0.1864,0.1915
i9_c5,0.36,0.2985,0.2152,0.1953
i9_c6,0.344,0.3014,0.2008,0.1839
i9_c7,0.324,0.2983,0.1776,0.1874
i9_g,0.246,0.2488,,
