,train_acc,test_acc
i0_c0,0.956,0.4752
i0_c1,0.9472,0.472
i0_c2,0.9604,0.4657
i0_c3,0.9508,0.468
i0_g,0.6429,0.5198
i1_c0,0.9724,0.5173
i1_c1,0.9736,0.5149
i1_c2,0.9804,0.5161
i1_c3,0.9748,0.5123
i1_g,0.7249,0.5535
i2_c0,0.9824,0.5324
i2_c1,0.98,0.5284
i2_c2,0.986,0.5277
i2_c3,0.9816,0.5275
i2_g,0.7754,0.5636
i3_c0,0.9868,0.5377
i3_c1,0.9856,0.5353
i3_c2,0.9888,0.535
i3_c3,0.986,0.5386
i3_g,0.8061,0.5691
i4_c0,0.99,0.5441
i4_c1,0.9876,0.5402
i4_c2,0.9896,0.541
i4_c3,0.9888,0.5377
i4_g,0.8255,0.573
